agrn,measure_id,measure_name,category,category_verified,source_id,page_or_section,document_date,first_approval_date,geographic_scope,verified_geographic_locations,decision_unit,negative_eligibility_verified,measure_inventory_complete,notes,source_url,verification_status
1046,1046_M01,Community Mental Health Program,C,True,1046_mental,HTML main content,2024-12-16,,"Explicit eligible council list; availability/support scope, not evidence of payment",Boulia;Burke;Carpentaria;Doomadgee;Mount Isa,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified in activation_1046 PDF p6 (17 January 2024); scope verified on linked program page. No rejected/eligible-but-unselected location list.,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-mental-health-package-1-million,CATEGORY_AND_NAMED_GEOGRAPHIC_SCOPE_VERIFIED
1046,1046_M02,Community Recovery and Resilience Officer Program,C,True,1046_officers,HTML main content,2026-05-25,,"Explicit eligible council list; availability/support scope, not evidence of payment",Burke;Carpentaria;Doomadgee,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified in activation_1046 PDF p6 (17 January 2024); scope verified on linked program page. No rejected/eligible-but-unselected location list.,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2022-23-monsoon-and-flooding-exceptional-circumstances-package/community-recovery-and-resilience-officers,CATEGORY_AND_NAMED_GEOGRAPHIC_SCOPE_VERIFIED
1046,1046_M03,Tourism Recovery and Resilience Program,C,True,1046_tourism,HTML main content,2024-12-03,,"Explicit eligible council list; availability/support scope, not evidence of payment",Burke;Carpentaria;Cloncurry;Doomadgee;Mornington;Mount Isa,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified in activation_1046 PDF p6 (17 January 2024); scope verified on linked program page. No rejected/eligible-but-unselected location list.,https://www.qra.qld.gov.au/tourism-recovery-and-resilience-program-115-million,CATEGORY_AND_NAMED_GEOGRAPHIC_SCOPE_VERIFIED
1046,1046_M04,Extraordinary grants: primary producers / business and not-for-profit,D,True,activation_1046,PDF pp2–6,2024-01-17,,"Seven LGAs, recipient direct-damage tests; not Category C",Boulia;Burke;Carpentaria;Cloncurry;Doomadgee;Mornington;Mount Isa,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,No decision applicant/rejection register recovered,https://www.qra.qld.gov.au/sites/default/files/2024-01/v16_activation_summary_northern_and_central_queensland_monsoon_and_flooding_20_december_2022_-_30_april_2023.pdf,CATEGORY_VERIFIED_SCOPE_PARTIAL
1078,1078_M01,Mental Health Package,C,True,activation_1078,PDF p3 category table; activation matrix on preceding pages,2024-05-03,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2024-05/Version_8_Activation_Summary_Southern_Queensland_fires_8_September_to_7_November_2023.pdf,CATEGORY_VERIFIED_SCOPE_PARTIAL
1078,1078_M02,Community Health and Wellbeing Package,C,True,activation_1078,PDF p3 category table; activation matrix on preceding pages,2024-05-03,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2024-05/Version_8_Activation_Summary_Southern_Queensland_fires_8_September_to_7_November_2023.pdf,CATEGORY_VERIFIED_SCOPE_PARTIAL
1078,1078_M03,Monitoring and Evaluation Program,C,True,activation_1078,PDF p3 category table; activation matrix on preceding pages,2024-05-03,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2024-05/Version_8_Activation_Summary_Southern_Queensland_fires_8_September_to_7_November_2023.pdf,CATEGORY_VERIFIED_SCOPE_PARTIAL
1088,1088_M01,Community Development Program,C,True,activation_1088,PDF p3 category table; activation matrix on preceding pages,2025-01-16,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-01/Version_18_Activation_Summary_for_Tropical_Cyclone_Jasper_associated_rainfall_and_flooding_13_28_December_2023.pdf,CATEGORY_VERIFIED_SCOPE_PARTIAL
1088,1088_M02,Community Health and Wellbeing,C,True,activation_1088,PDF p3 category table; activation matrix on preceding pages,2025-01-16,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-01/Version_18_Activation_Summary_for_Tropical_Cyclone_Jasper_associated_rainfall_and_flooding_13_28_December_2023.pdf,CATEGORY_VERIFIED_SCOPE_PARTIAL
1088,1088_M03,Mental Health Program,C,True,activation_1088,PDF p3 category table; activation matrix on preceding pages,2025-01-16,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-01/Version_18_Activation_Summary_for_Tropical_Cyclone_Jasper_associated_rainfall_and_flooding_13_28_December_2023.pdf,CATEGORY_VERIFIED_SCOPE_PARTIAL
