source_id,url,local_file,sha256,evidence_status,publication_date
richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,Experiment 4/results/sources/richmond_q3.pdf,35223babec8135a8b56de33b364c2d28b20e9abfc09a7800b01029e666348e05,inherited_curated_evidence,
richmond_may_agenda,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/05/Agenda-Ordinary-Meeting-17-May-2022.pdf,Experiment 4/results/sources/richmond_may_agenda.pdf,ae1aff0c8ee07cac1a08cca21dee7d31c38533ca1259e3fa4ca310801e859d5e,inherited_curated_evidence,
richmond_index,https://richmondvalley.nsw.gov.au/council/integrated-planning-and-reporting/,Experiment 4/results/sources/richmond_index.html,6c4cbad6c9df97b660fad927c41bac3c4986ed1fa6c8e3e74a81b6a4e625b71d,inherited_curated_evidence,
griffith_q3,https://businesspapers.griffith.nsw.gov.au/Open/2020/05/CO_26052020_ATT_1267_PLANS.PDF,Experiment 4/results/sources/griffith_q3.pdf,b96f80124cfe9a209622f7f60efc5600c71f82248e5959896203c1eab0874b14,inherited_curated_evidence,
griffith_q3_minutes,https://businesspapers.griffith.nsw.gov.au/Open/2020/05/CO_26052020_MIN_1267.PDF,Experiment 4/results/sources/griffith_q3_minutes.pdf,302c17307cebcb8dba1f2f26cac36e27dd9fa6dba66e4e6540c5e62c8120437f,inherited_curated_evidence,
euro_q3,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0012/161040/March-Quarterly-Budget-Review-2020.pdf,Experiment 4/results/sources/euro_q3.html,c755dc1fcc7aa0dd74db9b749c796525b9613ad7ce7fe1562976a6da733d11dd,inherited_curated_evidence,
euro_2020_index,https://www.esc.nsw.gov.au/council/meetings/agendas-and-minutes/2020,Experiment 4/results/sources/euro_2020_index.html,1e9b82b3c14c8c42b308eff669353d99fbaeb6f198e5585f5c152af3c9300bf8,inherited_curated_evidence,
wagga_q3,https://meetings.wagga.nsw.gov.au/Open/2022/04/OC_11042022_AGN_4870_AT.HTM,Experiment 4/results/sources/wagga_q3.html,0c42f37c30ca1114b0eab6ba194e4484a097226842457e8fccc4c93e739012d9,inherited_curated_evidence,
wagga_q3_minutes,https://meetings.wagga.nsw.gov.au/Open/2022/04/OC_11042022_MIN_4870.htm,Experiment 4/results/sources/wagga_q3_minutes.html,d81c8764364321d39669b91c033a89db79fff3ecef1e0250615d67f5984e11f5,inherited_curated_evidence,
lismore_business,https://www.lismore.nsw.gov.au/Council/Council-meetings/Business-papers-and-minutes,Experiment 4/results/sources/lismore_business.html,da89f5151d838cc8ac3ca2d4557428e8970225ae161be0f7b9e4c9d859c811fa,inherited_curated_evidence,
lismore_meetings,https://www.lismore.nsw.gov.au/Council/Council-and-committee-meetings-schedule/Council-meeting-minutes-and-agendas,Experiment 4/results/sources/lismore_meetings.html,6853e913dcb812f30f5655e1c2fa1a47b176c588899749911aecb26c57a6aafb,inherited_curated_evidence,
richmond_budgets_current,https://richmondvalley.nsw.gov.au/council/governance/budgets-and-financial-reports/,Experiment 4/results/sources/richmond_budgets_current.html,ee3644a967109f8aefdb8e0adce8fbff32d9436a7bbbf841038004c353967ab7,inherited_curated_evidence,
richmond_2022_index,https://richmondvalley.nsw.gov.au/council/council-meetings/2022-agendas-and-minutes/,Experiment 4/results/sources/richmond_2022_index.html,9a7055495913b53e8411425ce465a5b390a6bcfb983ee8be27748f4590ee9025,inherited_curated_evidence,
richmond_delivery2022,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/08/FINAL-Delivery-Program-Progress-Report-Q4-30-June-2022.pdf,Experiment 4/results/sources/richmond_delivery2022.pdf,153fdeea4e39192e2f5ea43bc7e3af26bec68f604234b63859957a8c1ccf1e0d,inherited_curated_evidence,
wagga_q1,https://meetings.wagga.nsw.gov.au/Open/2021/10/OC_25102021_AGN_4814_AT.htm,Experiment 4/results/sources/wagga_q1.html,bf5f5c5951d804787cc8d25f12082ea18dae349540c1965afc7ea9c36d48a9b4,inherited_curated_evidence,
griffith_q2,https://businesspapers.griffith.nsw.gov.au/Open/2020/02/CO_25022020_AGN_1261_AT.PDF,Experiment 4/results/sources/griffith_q2.pdf,ab4f95faae30b68ac02e30232e8dc7221bb8ae5c39c506d3fb2105883317b761,inherited_curated_evidence,
euro_q2_attachment,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0007/158956/Attachment-1-CCS20-006.pdf,Experiment 4/results/sources/euro_q2_attachment.html,69065e9425a963ad36e98d3c504bb9d23b56ddfa559a6693f6264f0f9fbd3b0a,inherited_curated_evidence,
lismore_archive,https://www.lismore.nsw.gov.au/Council/Council-and-committee-meetings-schedule/Archived-Council-business-papers,Experiment 4/results/sources/lismore_archive.html,abaecd17fe7dc06be8557f3c66073588d24c295f55fae12197fb42318fc53f05,inherited_curated_evidence,
richmond_q1,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,Experiment 4/results/sources/richmond_q1.pdf,ae12cec69a3a661cded2bdabaed6430eb5053a34f807e79ae1af41626af53bac,inherited_curated_evidence,
richmond_q1_minutes,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/CO_20211019_MIN_31671.pdf,Experiment 4/results/sources/richmond_q1_minutes.pdf,adc1f49210e1ec7d7cc6fe60806d15354ffd2bc295f29fe50e530f8158223e06,inherited_curated_evidence,
richmond_q2_minutes,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/02/Minutes-15-February-2022.pdf,Experiment 4/results/sources/richmond_q2_minutes.pdf,a7e5bb3cc18c01e19ef454cc4a857f31cc6bfd5c187624f993e6665392f7e9b2,inherited_curated_evidence,
wagga_q2,https://meetings.wagga.nsw.gov.au/Open/2022/01/OC_31012022_AGN_4855_AT.htm,Experiment 4/results/sources/wagga_q2.html,69b0faafeb07bd211449267a35579498a70a9fb62ce5020e16062b3c9c100a9d,inherited_curated_evidence,
wagga_q2_minutes,https://meetings.wagga.nsw.gov.au/Open/2022/01/OC_31012022_MIN_4855.htm,Experiment 4/results/sources/wagga_q2_minutes.html,8bd3be9a3d472424cf9368ca0fcbbad28ad79b9a406c3a5f8b5f32ab4bbff890,inherited_curated_evidence,
euro_q1,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0007/157804/September-quarterly-budget-review.pdf,Experiment 4/results/sources/euro_q1.html,c1c5e5b818200d52c5427e7d10fe9979a14f48162f73b157aab61e63f0e2f199,inherited_curated_evidence,
lismore_portal,https://lismore.infocouncil.biz/,Experiment 4/results/sources/lismore_portal.html,3dd96274e4431cc0c165f66f680b96dd5ee7dbb04fa57e55b9b3c4daae262e5b,inherited_curated_evidence,
richmond_q2_attachments,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/02/CO_20220215_ATT_3185_EXCLUDED.pdf,Experiment 4/results/sources/richmond_q2_attachments.pdf,a731735a38d7be1ca7d2b5a26d676e223562515fc594ab91bd6e108b81d277f4,inherited_curated_evidence,
richmond_q3_minutes,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/05/Unconfirmed-Minutes-Ordinary-Meeting-17-May-2022.pdf,Experiment 4/results/sources/richmond_q3_minutes.pdf,ac7df879a8002ca831aa1fd738640b02488a08308666225a6cf449f347809bd6,inherited_curated_evidence,
wagga_fs2022,https://meetings.wagga.nsw.gov.au/Open/2022/11/OC_21112022_AGN_4884_AT_files/OC_21112022_AGN_4884_AT_Attachment_20049_1.PDF,Experiment 4/results/sources/wagga_fs2022.pdf,9275d6a732e36e6b676b867ed6cbf71d32aff39f53029217f044af854e7acadf,inherited_curated_evidence,
wagga_q1_minutes,https://meetings.wagga.nsw.gov.au/Open/2021/10/OC_25102021_MIN_4814.HTM,Experiment 4/results/sources/wagga_q1_minutes.html,cc91e4260284b5a2414e64f47b53382188e4495325d84f477adab2af332f9e2b,inherited_curated_evidence,
lismore_oc_22062021_agn_at_extra,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2021/06/OC_22062021_AGN_AT_EXTRA.PDF,Experiment 4/results/sources/lismore_oc_22062021_agn_at_extra.pdf,ddaacad6e1e1e4af1d0146e06f615f5b9b9d28e7fe7c095e71f5ca5292f2ea0a,inherited_curated_evidence,
lismore_oc_22062021_min_extra,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2021/06/OC_22062021_MIN_EXTRA.PDF,Experiment 4/results/sources/lismore_oc_22062021_min_extra.pdf,b91da87d11d157f478473ea2a72c8196e2e6e084fac9e90241bb253922488e21,inherited_curated_evidence,
lismore_oc_09082022_agn_at,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/08/OC_09082022_AGN_AT.PDF,Experiment 4/results/sources/lismore_oc_09082022_agn_at.html,64b0077276ad99f29bd7850b21ae57801083dc2ee76498f50616f1f27fad3670,inherited_curated_evidence,
lismore_oc_09082022_att_excluded,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/08/OC_09082022_ATT_EXCLUDED.PDF,Experiment 4/results/sources/lismore_oc_09082022_att_excluded.html,64b0077276ad99f29bd7850b21ae57801083dc2ee76498f50616f1f27fad3670,inherited_curated_evidence,
lismore_oc_09082022_min,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/08/OC_09082022_MIN.PDF,Experiment 4/results/sources/lismore_oc_09082022_min.html,64b0077276ad99f29bd7850b21ae57801083dc2ee76498f50616f1f27fad3670,inherited_curated_evidence,
lismore_oc_10052022_agn_at,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/05/OC_10052022_AGN_AT.PDF,Experiment 4/results/sources/lismore_oc_10052022_agn_at.html,64b0077276ad99f29bd7850b21ae57801083dc2ee76498f50616f1f27fad3670,inherited_curated_evidence,
lismore_oc_10052022_att_excluded,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF,Experiment 4/results/sources/lismore_oc_10052022_att_excluded.pdf,e2307fdec6453ede02616c56770d7d97b852f918d1bd7dc6e748f50df74bcc0d,inherited_curated_evidence,
lismore_oc_10052022_min,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/05/OC_10052022_MIN.PDF,Experiment 4/results/sources/lismore_oc_10052022_min.pdf,59bf8c20d0594dc92b44b017076d39560b25f16a93c1b1b187599196791467d4,inherited_curated_evidence,
lismore_oc_08022022_agn_at,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/02/OC_08022022_AGN_AT.PDF,Experiment 4/results/sources/lismore_oc_08022022_agn_at.pdf,6d31e95c20616a63005501d8178f1ece6a9c8826d57ee79a5b840bae44555a3a,inherited_curated_evidence,
lismore_oc_08022022_att_excluded,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/02/OC_08022022_ATT_EXCLUDED.PDF,Experiment 4/results/sources/lismore_oc_08022022_att_excluded.pdf,47e26151d130f243856e1205e0e81dcde6ee8bb4a0dd879712d20effd7424eda,inherited_curated_evidence,
lismore_oc_08022022_min,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/02/OC_08022022_MIN.PDF,Experiment 4/results/sources/lismore_oc_08022022_min.pdf,aeffd0b19445606c9ed199c3ed207d8953c45f45a82d552c63bd9aba0116af7e,inherited_curated_evidence,
lismore_oc_09082022_agn_at_direct,https://lismore.infocouncil.biz/Open/2022/08/OC_09082022_AGN_AT.PDF,Experiment 4/results/sources/lismore_oc_09082022_agn_at_direct.pdf,6f26f9b39e00b392ac10ebb2ab769ac1a34e4ae6edcf43cc3a2f62b875d4b23a,inherited_curated_evidence,
lismore_oc_09082022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/08/OC_09082022_ATT_EXCLUDED.PDF,Experiment 4/results/sources/lismore_oc_09082022_att_excluded_direct.pdf,177b4c65d99609fed3992112b5653984015e755b3053876488333c1bc32dc227,inherited_curated_evidence,
lismore_oc_10052022_agn_at_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_AGN_AT.PDF,Experiment 4/results/sources/lismore_oc_10052022_agn_at_direct.pdf,c8e66e5034ca316c049ccf6be2775b4bf7d785864c2f0a0f103095b43b5de133,inherited_curated_evidence,
lismore_oc_10052022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF,Experiment 4/results/sources/lismore_oc_10052022_att_excluded_direct.pdf,e2307fdec6453ede02616c56770d7d97b852f918d1bd7dc6e748f50df74bcc0d,inherited_curated_evidence,
lismore_oc_08022022_agn_at_direct,https://lismore.infocouncil.biz/Open/2022/02/OC_08022022_AGN_AT.PDF,Experiment 4/results/sources/lismore_oc_08022022_agn_at_direct.pdf,6d31e95c20616a63005501d8178f1ece6a9c8826d57ee79a5b840bae44555a3a,inherited_curated_evidence,
lismore_oc_08022022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/02/OC_08022022_ATT_EXCLUDED.PDF,Experiment 4/results/sources/lismore_oc_08022022_att_excluded_direct.pdf,47e26151d130f243856e1205e0e81dcde6ee8bb4a0dd879712d20effd7424eda,inherited_curated_evidence,
lismore_all2021_oc_09112021_agn_at,https://lismore.infocouncil.biz/Open/2021/11/OC_09112021_AGN_AT.PDF,Experiment 4/results/sources/lismore_all2021_oc_09112021_agn_at.pdf,e87ed208ce46dd68413e49fce195bcbb9969875cdf04a756cd7e15fbd583bf24,inherited_curated_evidence,
lismore_all2021_oc_09112021_att_excluded,https://lismore.infocouncil.biz/Open/2021/11/OC_09112021_ATT_EXCLUDED.PDF,Experiment 4/results/sources/lismore_all2021_oc_09112021_att_excluded.pdf,8f30fdcfff45b746e92224b344e3e8c727f672605c4f3a90b0d22923a4e3c6b4,inherited_curated_evidence,
lismore_all2021_oc_09112021_min,https://lismore.infocouncil.biz/Open/2021/11/OC_09112021_MIN.PDF,Experiment 4/results/sources/lismore_all2021_oc_09112021_min.pdf,95c1a842ec4f2d8738f18cc1a3f0c40eb69fe0361a6c33060e715ed7a45db191,inherited_curated_evidence,
griffith_2019_co_26112019_agn_1080_at,https://businesspapers.griffith.nsw.gov.au/Open/2019/11/CO_26112019_AGN_1080_AT.PDF,Experiment 4/results/sources/griffith_2019_co_26112019_agn_1080_at.pdf,10bee3ba60232b0fe3c944492e4352568179df8c5b7a2ac3dffc852c9d420307,inherited_curated_evidence,
griffith_2019_co_26112019_min_1080,https://businesspapers.griffith.nsw.gov.au/Open/2019/11/CO_26112019_MIN_1080.PDF,Experiment 4/results/sources/griffith_2019_co_26112019_min_1080.pdf,70c8e666b21ff142fd4d49186572a0c9dd8680d11e12d69bf2a5588ed5cf914c,inherited_curated_evidence,
griffith_2019_co_26112019_att_1080_excluded,https://businesspapers.griffith.nsw.gov.au/Open/2019/11/CO_26112019_ATT_1080_EXCLUDED.PDF,Experiment 4/results/sources/griffith_2019_co_26112019_att_1080_excluded.pdf,4874b91fb3bcba19bae015799bcbeee6bc96cda43ac807dc57b80180b2b6f80a,inherited_curated_evidence,
