case_id,classification,explanation,source_id,pdf_pages,predictor_tags,disaster_evidence,attribution_strength,source_url
carrathool_2021,mixed causes,"FY2021–22 operating grants increased from $13.681m to $20.510m and depreciation fell $1.963m versus FY2020–21. Council explicitly links the ratio improvement to advance Financial Assistance Grants. This documents the target annual step, while the preceding step is not fully reconciled.",carrathool_2022,"47,69,111,114",operating_grants;payment_timing;expense_components;depreciation;revenue_components,No documented disaster-finance attribution in inspected evidence.,Documented contributor; full two-year causal attribution not established,https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/Annual-Report-2021-22-FINAL.pdf
carrathool_2022,mixed causes,"Operating grants rose from $13.681m in FY2020–21 to $20.510m in FY2021–22 and $21.267m in FY2022–23. Depreciation fell $1.963m in the first transition. Council explicitly links ratio improvement to advance Financial Assistance Grants. This combines real funding, timing and expense changes.",carrathool_2022,"47,69,111,114",operating_grants;payment_timing;expense_components;depreciation;revenue_components,No documented disaster-finance attribution in inspected evidence.,Documented contributor; full two-year causal attribution not established,https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/Annual-Report-2021-22-FINAL.pdf
carrathool_2022,operating grant change,The FY2022–23 note separates $1.501m storm/flood operating funding ($7.256m comparative) from capital funding. Advance future-year general/roads FAG allocations total $7.874m. Funding receipt and expense recognition need not coincide.,carrathool_2023,"68,119,122",operating_grants;payment_timing;disaster_grants,"Storm/flood operating grants documented; no quantified matching reconstruction cost or damage valuation recovered. FAG advance is general funding, not automatically disaster funding.",Documented contributor; full two-year causal attribution not established,https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/2022-2023-Final-Annual-Report.pdf
snowymonaro_2022,mixed causes,The low FY2020–21 starting ratio coincided with a $11.2m landfill rehabilitation expense and reduced operating grants. FY2021–22 auditor commentary attributes improvement to increased operating grants and reduced other expenses. FY2022–23 records $35.607m operating grants. Comparatives were restated: the original FY2021–22 ratio −0.34% becomes −1.37% in the 2023 report.,snowymonaro_18,"83,91",operating_grants;expense_components;accounting_adjustments;revenue_components,No documented disaster-finance attribution in inspected evidence.,Documented contributor; full two-year causal attribution not established,https://www.snowymonaro.nsw.gov.au/files/assets/public/v/1/council/annual-amp-financial-reports/combined-financial-statements-2020-2021.pdf
snowymonaro_2022,mixed causes,FY2022 accounts show other expenses $13.950m to $1.625m and operating grants $23.236m to $30.353m. The 2023 performance note retains FY2021 −30.27% but revises the 2022 comparative.,snowymonaro_17,"7,73,87",operating_grants;expense_components;accounting_adjustments,No documented disaster-finance attribution in inspected evidence.,Documented contributor; full two-year causal attribution not established,https://www.snowymonaro.nsw.gov.au/files/assets/public/v/2/council/ipr/annual-financial-statements-2022.pdf
liverpoolplains_2022,mixed causes,"FY2022–23 operating grants rose $6.325m against FY2021–22. Commentary identifies advance FAG and unspent road/resilience funding, with high depreciation continuing. The prose reports −4.64% while the performance table and panel give −4.24%; retain the discrepancy. These records partly explain improvement, not the entire two-year movement.",liverpoolplains_5,"5,63,66",operating_grants;payment_timing;depreciation;disaster_grants;revenue_components,"Council describes operational natural-disaster grants for road repair. Physical damage amount, matching reconstruction cost and payment schedule were not established.",Documented contributor; full two-year causal attribution not established,https://www.liverpoolplains.nsw.gov.au/files/sharedassets/public/v/1/media-and-public-notices/media-release-images-new/lpsc-annual-financial-statements-30-june-2023.pdf
hay_2021,mixed causes,"FY2021–22 commentary attributes improvement to advance Financial Assistance Grants, reclassification of maintenance to capital, and savings. The income statement separates $8.500m operating grants from $6.067m capital grants. The documentary explanation covers the target annual step; the earlier step remains only partly audited.",hay_2022,"6,73,76",operating_grants;payment_timing;maintenance_reconstruction;accounting_adjustments;expense_components,No documented disaster-finance attribution in inspected evidence.,Documented contributor; full two-year causal attribution not established,https://www.hay.nsw.gov.au/LinkClick.aspx?fileticket=H1oYw0BKpL8%3D&portalid=0
murrayriver_2021,mixed causes,FY2021–22 commentary links the weak operating ratio to $2.357m additional depreciation and reduced revenue versus FY2020–21. This explains a contributor to the target annual step; the earlier comparison year has not been fully reconciled.,murrayriver_3,95,depreciation;revenue_components,No documentary disaster-finance attribution established within this case period. Later 2022 floods must not explain an outcome ending June 2022.,Documented contributor; full two-year causal attribution not established,https://www.murrayriver.nsw.gov.au/files/assets/public/v/1/documents/financial-statements/mrc-2021-2022-annual-financial-statements.pdf
murrayriver_2022,mixed causes,"FY2022–23 accounts identify high depreciation, operating flood preparation/response/repair funding, $3.992m counter-disaster/reactive maintenance, and advance FAG recognition. These are verified contributors within the target year, not a full explanation of the two-year difference.",murrayriver_4,"35,36,92,101",revenue_components;operating_grants;payment_timing;disaster_grants;reconstruction_expenditure;depreciation;rate_revenue,FY2022–23 notes document $3.992m counter-disaster/reactive maintenance expenditure; $2m flood assistance under capital grants; additional operating road funding and $3m extra FAG advance. Recovery applications were not yet accepted: do not label expected reimbursement as cash received.,Documented contributor; full two-year causal attribution not established,https://www.murrayriver.nsw.gov.au/files/assets/public/v/1/documents/financial-statements/2022-2023-murray-river-council-annual-financial-statements.pdf
murrayriver_2023,mixed causes,"FY2023–24 income statements show rates and user charges increasing and depreciation/material costs decreasing versus FY2022–23. The 2023 comparative ratio is −26.22%, compared with −25.90% in the panel. The intermediate-year flood transactions are documented separately in the 2023 report; their contribution to the full two-year ratio change is not quantified.",murrayriver_5,"4,80",revenue_components;depreciation;rate_revenue;expense_components;accounting_adjustments,FY2022–23 notes document $3.992m counter-disaster/reactive maintenance expenditure; $2m flood assistance under capital grants; additional operating road funding and $3m extra FAG advance. Recovery applications were not yet accepted: do not label expected reimbursement as cash received.,Documented contributor; full two-year causal attribution not established,https://www.murrayriver.nsw.gov.au/files/assets/public/v/1/documents/ipampr-docs-and-budgets/mrc-annual_financial_statements-2023-2024.pdf
