source_id,pdf_page,terms,review
lismore_fs2024,5,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,9,budget;deferred,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,10,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,12,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,13,restoration,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,18,advance,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,20,advance,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,25,restoration,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,28,maintenance;budget;restoration;advance,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,29,maintenance;budget;restoration,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,32,deferred,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,34,restoration,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,35,restoration,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,36,restoration,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,37,maintenance,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,40,restoration,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,42,restoration;advance,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,44,restoration,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,45,restoration,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,55,restoration,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,74,restoration,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,78,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,80,restoration;advance,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,84,restoration,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,114,maintenance,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,115,maintenance,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,116,maintenance,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,117,maintenance;restoration,keyword screen; only curated evidence rows are close-reviewed transcriptions
lismore_fs2024,118,maintenance,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,3,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,4,budget;deferred,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,5,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,6,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,7,maintenance;budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,8,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,9,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,10,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,11,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,12,maintenance;budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,13,maintenance;budget;restoration,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,14,maintenance;budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,15,maintenance;budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,16,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,17,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,18,maintenance;budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,19,maintenance;budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,20,maintenance;budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,21,maintenance;budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,22,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,23,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,24,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,25,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,26,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,27,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,28,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,29,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,30,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,31,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,32,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,33,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,34,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,35,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,36,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,37,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,38,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,39,maintenance;budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,40,maintenance;budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,41,maintenance;budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,42,maintenance;budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,43,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,44,budget,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,45,budget;restoration,keyword screen; only curated evidence rows are close-reviewed transcriptions
richmond_plan2022,46,budget;deferred,keyword screen; only curated evidence rows are close-reviewed transcriptions
