field,dtype,rows,missing,distinct,observed_values,meaning,definition_verification,definition_source
Location_Name,object,2475,0,606,,Recorded geographic label; neither applicant nor payee identifier,Interpretation consistent with records; publisher field-level definition absent,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8
Location_Type,object,2475,0,2,LGA; SAL,"LGA or SAL. SAL means suburb/locality in ABS geography; LGA includes unincorporated areas, not necessarily an elected council",Values verified; ABS SAL definition verified; export boundary vintage unknown,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8
Location_code,object,2475,0,609,,Recorded geographic code; preserve as text. ABS-like values; geographic vintage and historical boundary crosswalk not specified,Interpretation consistent with records; publisher field-level definition absent,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8
STATE,object,2475,0,8,Australian Capital Territory; New South Wales; Northern Territory; Queensland; South Australia; Tasmania; Victoria; Western Australia,Recorded state/territory label; enforce state when linking similarly named locations,Interpretation consistent with records; publisher field-level definition absent,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8
event_name,object,2475,0,378,,Human-readable event description containing AGRN and sometimes onset/end dates; not a single measure or decision,Interpretation consistent with records; publisher field-level definition absent,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8
agrn,object,2475,0,378,,"Australian Government Reference Number identifying a registered disaster; does not identify a funding application, package or independent physical event",Official DisasterAssist pages label matching AGRNs,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8
cat_A,int64,2475,0,2,0; 1,Binary recorded Category A flag. Policy category: personal hardship/distress; export zero encoding undocumented,Interpretation consistent with records; publisher field-level definition absent,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8
cat_B,int64,2475,0,2,0; 1,Binary recorded Category B flag. Policy category includes essential public asset recovery and other loans/subsidies; export zero encoding undocumented,Interpretation consistent with records; publisher field-level definition absent,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8
cat_C,int64,2475,0,2,0; 1,"Binary recorded C activation indicator; cannot interpret as receipt. Category C comprises recovery funds or sector recovery measures. 0 only establishes recorded flag absence, not eligible denial. Mapping of multiple measures to flag undocumented",Interpretation consistent with records; publisher field-level definition absent,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8
cat_D,int64,2475,0,2,0; 1,Binary recorded D activation indicator for exceptional relief/recovery beyond A–C; heterogeneous programs. 0 does not establish eligible denial or no funding,Interpretation consistent with records; publisher field-level definition absent,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8
highest_drfa_category_group,object,2475,0,3,A/B; C/D; unknown,"Observed broad A/B or C/D grouping (and any other observed values); overlaps target flags, so never a predictor of C/D",Interpretation consistent with records; publisher field-level definition absent,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8
AGDRP,int64,2475,0,2,0; 1,Recorded Australian Government Disaster Recovery Payment indicator; separate individual-assistance scheme. Flag does not report payment amount or approved council receipt,Interpretation consistent with records; publisher field-level definition absent,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8
DRA,int64,2475,0,2,0; 1,"Recorded Disaster Recovery Allowance indicator; income support to eligible individuals, not council assistance receipt",Interpretation consistent with records; publisher field-level definition absent,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8
hazard_type,object,2475,1,11,"Bushfire; Bushfire, Storm; Cyclone; Cyclone, Flood; Cyclone, Low/tropical low, Rainfall, Tropical low; Earthquake; Flood; Flood, Storm; Storm; Storm surge; Tornado",Recorded hazard grouping; one missing entry; event names may contain multiple hazards. Not intensity/damage/need,Interpretation consistent with records; publisher field-level definition absent,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8
disaster_start_date,object,2475,0,330,,"Recorded disaster onset date; not category approval, LGA addition, application, announcement or cash receipt date",Interpretation consistent with records; publisher field-level definition absent,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8
