path,rows,columns,column_names,candidate_columns,read_status
NSW Data Panel.csv,1024.0,54.0,council|council_key|year_start|financial_year|fiscal_source_file|fiscal_source_sheet|fiscal_excel_row|actual_maintenance_aud|required_maintenance_aud|maintenance_gap_aud|maintenance_ratio_pct|outcome_observed|outcome_quality_eligible|maintenance_conflict|cash_cover_months|current_ratio|operating_ratio_pct|own_source_pct|grants_pct|debt_service_cover|population|area_km2|road_km|road_expenditure_aud|classification|fesm_burned_ha|fesm_burned_pct_raw|fesm_extent_only_ha|fesm_min_fire_size_ha_exclusive|fesm_source_file|fesm_excel_total_row|fesm_status|boundary_change_flag|boundary_compatibility|physical_flood_status|verified_zero_all_disaster_exposure|bushfire_declared_event_count|bushfire_agrns|bushfire_declaration_status|flood_declared_event_count|flood_agrns|flood_declaration_status|all_declared_event_count|all_agrns|all_declaration_status|source_list_disagreement_count|open_ended_onset_event_count|known_prior_year_carryover_count|prior_fy_declared_event_count|declaration_vs_fesm_scope_difference|candidate_no_new_declared_event|candidate_strict_scoped_comparison|direct_infrastructure_damage_documented|direct_infrastructure_evidence_ids,actual_maintenance_aud|required_maintenance_aud|maintenance_gap_aud|maintenance_ratio_pct|maintenance_conflict|candidate_no_new_declared_event|candidate_strict_scoped_comparison,read
Experiment 2/results/merge_audit.csv,1339.0,3.0,council_key|year_start|_merge,,read
Experiment 2/results/inner_forward_folds.csv,207.0,9.0,target|spec|history|outer_year|inner_year|train_n|validation_n|train_target_max|validation_event_year,,read
Experiment 2/results/annual_persistence_comparison.csv,272.0,20.0,target|history|test_year|test_fy|spec|model|n|train_n|ridge_alpha|MAE|RMSE|R2|persistence_MAE|persistence_RMSE|persistence_R2|MAE_improvement_vs_persistence|MAE_improvement_pct_vs_persistence|RMSE_improvement_vs_persistence|RMSE_improvement_pct_vs_persistence|wins_both_errors,,read
Experiment 2/results/predictor_dictionary.csv,11.0,3.0,variable|timing|reason,,read
Experiment 2/results/latest_tree_nodes.csv,43.0,11.0,target|spec|test_year|node|depth|is_leaf|split_variable|threshold|training_n|prediction|path,,read
Experiment 2/results/fold_preprocessing_audit.csv,884.0,10.0,target|history|test_year|spec|feature|training_missing|test_missing|training_median|value_withheld_all_training_missing|missing_indicator_retained,,read
Experiment 2/results/year_by_year_validation_wide.csv,78.0,52.0,target|history|test_year|test_fy|status|train_candidate_n|train_n|train_excluded_n|test_candidate_n|test_n|test_excluded_n|training_target_years|train_target_max|embargoed_eligible_rows|test_excluded__no_exact_prior_year|test_excluded__missing_target|train_excluded__missing_target|test_excluded__missing_eligible_persistence|train_excluded__missing_eligible_persistence|test_excluded__no_exact_target_year|test_excluded__outside_history_window|train_excluded__outside_history_window|test_excluded__cash_definition_not_comparable|train_excluded__cash_definition_not_comparable|test_excluded__maintenance_prior_conflict|test_excluded__maintenance_target_conflict|train_excluded__maintenance_prior_conflict|train_excluded__maintenance_target_conflict|MAE__baseline__persistence|MAE__baseline__training_mean|MAE__fiscal_only__ridge|MAE__fiscal_only__tree|MAE__fiscal_plus_fire__ridge|MAE__fiscal_plus_fire__tree|MAE__fiscal_plus_disaster__ridge|MAE__fiscal_plus_disaster__tree|RMSE__baseline__persistence|RMSE__baseline__training_mean|RMSE__fiscal_only__ridge|RMSE__fiscal_only__tree|RMSE__fiscal_plus_fire__ridge|RMSE__fiscal_plus_fire__tree|RMSE__fiscal_plus_disaster__ridge|RMSE__fiscal_plus_disaster__tree|R2__baseline__persistence|R2__baseline__training_mean|R2__fiscal_only__ridge|R2__fiscal_only__tree|R2__fiscal_plus_fire__ridge|R2__fiscal_plus_fire__tree|R2__fiscal_plus_disaster__ridge|R2__fiscal_plus_disaster__tree,train_candidate_n|test_candidate_n|test_excluded__maintenance_prior_conflict|test_excluded__maintenance_target_conflict|train_excluded__maintenance_prior_conflict|train_excluded__maintenance_target_conflict,read
Experiment 2/results/year_by_year_ablation.csv,204.0,10.0,target|history|test_year|model|augmented|reference|n|MAE_improvement|RMSE_improvement|R2_improvement,,read
Experiment 2/results/year_by_year_metrics.csv,272.0,12.0,target|history|test_year|test_fy|spec|model|n|train_n|ridge_alpha|MAE|RMSE|R2,,read
