project_record_id,council_key,year_start,project_label,official_project_id,identifier_status,spending_class,budget_revision_aud,original_budget_aud,original_source_id,original_source_page,original_source_url,pre_revision_budget_aud,post_revision_budget_aud,revision_stage,rephased_to_fy,reason,source_id,source_url,source_page,cross_document_link_status,year_end_actual_aud,year_end_completion_status,asset_damage_status,asset_access_status,fixed_pre_event_portfolio_verified,causal_eligible
P001,richmondvalley,2021,Casino Swimming Pool upgrade,,not_available_analyst_record_only,ordinary_candidate,-1600000,,,,,,,Q3,2022-23,Flood and rain delay; 121 workdays lost; transfer to next year. Gross deferral differs from category net because filters +37822.,richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,11,name_only_unverified,,unknown,unknown,unknown,False,False
P002,richmondvalley,2021,Casino Lawn Cemetery concrete strips,,not_available_analyst_record_only,ordinary_candidate,-40000,,,,,,,Q3,,No longer required; not stated to be disaster-driven.,richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,11,name_only_unverified,,unknown,unknown,unknown,False,False
P003,richmondvalley,2021,Coraki Riverside Pontoon Extension,,not_available_analyst_record_only,ordinary_candidate,-41923,,,,,,,Q3,2022-23,Flooding delayed works; damage/access not certified.,richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,12,name_only_unverified,,unknown,unknown,unknown,False,False
P004,richmondvalley,2021,Woodburn Riverside Park Jetty Upgrade,,not_available_analyst_record_only,ordinary_candidate,-63393,,,,,,,Q3,2022-23,Flooding delayed works; damage/access not certified.,richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,12,name_only_unverified,,unknown,unknown,unknown,False,False
P005,richmondvalley,2021,Casino Showground Planning and Design,,not_available_analyst_record_only,ordinary_candidate,-550000,,,,,,,Q3,2022-23,Wet weather and recovery-agency use of grounds; subset of larger program.,richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,12,name_only_unverified,,unknown,unknown,unknown,False,False
P006,richmondvalley,2021,Country Lane rehabilitation,,not_available_analyst_record_only,ordinary_candidate,-150000,,,,,,,Q3,2022-23,Transfer to next year; do not equate automatically to Country Lane Fixing Country Roads original $562500.,richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,13,name_only_unverified,,unknown,unknown,unknown,False,False
P007,richmondvalley,2021,Richmond Terrace rehabilitation,,not_available_analyst_record_only,ordinary_candidate,-70000,,,,,,,Q3,2022-23,Project delayed; transfer next year.,richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,13,name_only_unverified,,unknown,unknown,unknown,False,False
P008,richmondvalley,2021,Naughtons Gap Road Fixing Local Roads,,not_available_analyst_record_only,direct_damage_or_reconstruction,-484008,,,,,,,Q3,2022-23,Landslip damage and possible alternate solution; exclude from undamaged ordinary outcome.,richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,13,name_only_unverified,,unknown,unknown,unknown,False,False
P009,richmondvalley,2021,AGRN960 Essential Public Asset Restoration,,not_available_analyst_record_only,disaster_reconstruction,-1245243,,,,,,,Q3,2022-23,March2021 projects redamaged; close old event claims and reassess under AGRN1012. Not ordinary crowd-out.,richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,13,name_only_unverified,,unknown,unknown,unknown,False,False
P010,richmondvalley,2021,Cell 6 approval and construction,,not_available_analyst_record_only,ordinary_candidate,-1000000,3000000.0,richmond_plan2022,66.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/06/Operational-Plan-2021-2022-including-Financial-Estimates-2021-2025-Adopted-by-Council-22-June-2021-1.pdf,,,Q3,2022-23,Wet weather disruption; budget transferred to next year. Original label and revision refer to same cell but phase-level mapping not certified.,richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,14,name_only_unverified,,unknown,unknown,unknown,False,False
P011,richmondvalley,2021,Stormwater remaining capital program,,not_available_analyst_record_only,ordinary_candidate,-97336,,,,,,,Q3,2022-23,Return to reserves for reassessment after persistent wet weather.,richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,14,name_only_unverified,,unknown,unknown,unknown,False,False
P012,richmondvalley,2021,Sewer capital projects bundle,,not_available_analyst_record_only,damage_assessment_pending,-217662,,,,,,,Q3,,"Projects removed pending flood damage assessment; seven components, not seven independent councils.",richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,15,name_only_unverified,,unknown,unknown,unknown,False,False
P013,richmondvalley,2021,Casino depot pavement rehabilitation and sealing,,not_available_analyst_record_only,ordinary_candidate,-70418,,,,,,,Q3,2022-23,Deferred due to insufficient resources; financial vs operational channel unknown.,richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,15,name_only_unverified,,unknown,unknown,unknown,False,False
P014,richmondvalley,2021,Colches St Lennox to Stapleton and Hare mains,,not_available_analyst_record_only,ordinary_candidate,6564,65000.0,richmond_plan2022,67.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/06/Operational-Plan-2021-2022-including-Financial-Estimates-2021-2025-Adopted-by-Council-22-June-2021-1.pdf,,,Q3,,Completed; reserve transfer covers cost; total actual not provided.,richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,14,name_only_unverified,,completed_reported_Q3,unknown,unknown,False,False
P015,richmondvalley,2021,Colches St North Waratah to Sandiland mains,,not_available_analyst_record_only,ordinary_candidate,17374,22500.0,richmond_plan2022,67.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/06/Operational-Plan-2021-2022-including-Financial-Estimates-2021-2025-Adopted-by-Council-22-June-2021-1.pdf,,,Q3,,Completed; reserve transfer covers cost; total actual not provided.,richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,14,name_only_unverified,,completed_reported_Q3,unknown,unknown,False,False
P016,lismore,2021,Lismore Employment Lands Project,,not_available_analyst_record_only,ordinary_candidate,-9233700,,,,,,,Q3,,Balance deferred to future period; source unit/year conflict applies.,lismore_oc_10052022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF,165,name_only_unverified,,unknown,unknown,unknown,False,False
P017,lismore,2021,Regional Block Grant capital to operational,,not_available_analyst_record_only,scope_transfer,-485400,,,,,,,Q3,,"Accounting/scope transfer to operating works, not necessarily infrastructure reduction; source unit/year conflict applies.",lismore_oc_10052022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF,165,name_only_unverified,,unknown,unknown,unknown,False,False
P018,lismore,2021,Roads capital delayed projects,,not_available_analyst_record_only,ordinary_candidate,-321000,,,,,,,Q3,2022-23,Transferred to 2022-23 reserves due to flood; source unit/year conflict applies.,lismore_oc_10052022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF,165,name_only_unverified,,unknown,unknown,unknown,False,False
P019,lismore,2021,Fixing Local Roads,,not_available_analyst_record_only,ordinary_candidate,-87500,,,,,,,Q3,,Balance deferred to future period; source unit/year conflict applies.,lismore_oc_10052022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF,165,name_only_unverified,,unknown,unknown,unknown,False,False
P020,lismore,2021,Black Spot Program,,not_available_analyst_record_only,ordinary_candidate,-2046300,,,,,,,Q3,,Balance deferred to future period; source unit/year conflict applies.,lismore_oc_10052022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF,165,name_only_unverified,,unknown,unknown,unknown,False,False
P021,lismore,2021,Safer Roads,,not_available_analyst_record_only,ordinary_candidate,-511000,,,,,,,Q3,,Balance deferred to future period; source unit/year conflict applies.,lismore_oc_10052022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF,165,name_only_unverified,,unknown,unknown,unknown,False,False
P022,lismore,2021,Drainage capital delayed projects,,not_available_analyst_record_only,ordinary_candidate,-180900,,,,,,,Q3,2022-23,Transferred to 2022-23 reserves due to flood; source unit/year conflict applies.,lismore_oc_10052022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF,165,name_only_unverified,,unknown,unknown,unknown,False,False
P023,lismore,2021,Waste phytocapping and leachate dam,,not_available_analyst_record_only,ordinary_candidate,-473300,,,,,,,Q3,2022-23,Transferred to 2022-23 reserves due to flood; source unit/year conflict applies.,lismore_oc_10052022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF,165,name_only_unverified,,unknown,unknown,unknown,False,False
P024,lismore,2021,Water capital delayed projects,,not_available_analyst_record_only,ordinary_candidate,-1464900,,,,,,,Q3,2022-23,Transferred to 2022-23 reserves due to flood; source unit/year conflict applies.,lismore_oc_10052022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF,166,name_only_unverified,,unknown,unknown,unknown,False,False
P025,lismore,2021,Wastewater capital delayed projects,,not_available_analyst_record_only,ordinary_candidate,-1047800,,,,,,,Q3,2022-23,Transferred to 2022-23 reserves due to flood; source unit/year conflict applies.,lismore_oc_10052022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF,166,name_only_unverified,,unknown,unknown,unknown,False,False
P026,lismore,2021,Airport capital projects,,not_available_analyst_record_only,ordinary_candidate,-146600,,,,,,,Q3,,Deferred due to floods; source unit/year conflict applies.,lismore_oc_10052022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF,166,name_only_unverified,,unknown,unknown,unknown,False,False
P027,lismore,2021,Oakes Crozier grant projects,,not_available_analyst_record_only,ordinary_candidate,-4000000,,,,,,,Q3,,Cannot complete by year end due to floods; grants not received; source unit/year conflict applies.,lismore_oc_10052022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF,166,name_only_unverified,,unknown,unknown,unknown,False,False
P028,waggawagga,2021,LMC Treatment of Re-use Water,45049.0,source_job_number,ordinary_candidate,-358985,,,,,359030.0,45.0,Q2,2023-24,Rescheduled; total project budget unchanged.,wagga_q2,https://meetings.wagga.nsw.gov.au/Open/2022/01/OC_31012022_AGN_4855_AT.htm,Capital Works Timing Adjustments,within_review_exact_job_id,,unknown,unknown,unknown,False,False
P029,waggawagga,2021,LMC Implement a Wifi Network,45109.0,source_job_number,non_infrastructure_or_scope_review,-133766,,,,,133984.0,218.0,Q2,2022-23,Rescheduled IT project; total project budget unchanged.,wagga_q2,https://meetings.wagga.nsw.gov.au/Open/2022/01/OC_31012022_AGN_4855_AT.htm,Capital Works Timing Adjustments,within_review_exact_job_id,,unknown,unknown,unknown,False,False
P030,eurobodalla,2019,Catalina Service Reservoir,,not_available_analyst_record_only,ordinary_candidate,-800000,,,,,,,Q3,,Revised timing; carry forward flagged,euro_cap_q3,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0020/160418/Quarterly-Budget-Review-attachment.pdf,5,name_only_unverified,,unknown,unknown,unknown,False,False
P031,eurobodalla,2019,Airport capital works,,not_available_analyst_record_only,ordinary_candidate,-2300000,,,,,,,Q3,,Timing/funding change; COVID also affects airport revenue,euro_cap_q3,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0020/160418/Quarterly-Budget-Review-attachment.pdf,6,name_only_unverified,,unknown,unknown,unknown,False,False
P032,eurobodalla,2019,Batemans Bay Regional Aquatic Arts Leisure Centre,,not_available_analyst_record_only,ordinary_candidate,-852520,,,,,,,Q3,,"Revised timing/funding; category Strategic Development, no project ID",euro_cap_q3,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0020/160418/Quarterly-Budget-Review-attachment.pdf,6,name_only_unverified,,unknown,unknown,unknown,False,False
