council_key,year_start,field,value,status,reason,evidence_ids,review_status
eurobodalla,2016,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2016,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2016,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2016,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2017,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2017,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2017,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2017,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2018,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2018,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2018,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2018,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
