snapshot_id,project_id,year_start,stage,amount_aud,value_status,amount_basis,reference_period_end,decision_date,decision_status,source_id,source_page,decision_source_id,evidence_limit,model_eligible
richmondvalley:candidate:P001:2021:B0,richmondvalley:candidate:P001,2021,B0,,unknown_not_recovered,annual_budget,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P001:2021:Q1,richmondvalley:candidate:P001,2021,Q1,,unknown_not_recovered,annual_budget,2021-09-30,2021-10-19,approved_verified_minutes,,,richmond_q1_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P001:2021:Q2,richmondvalley:candidate:P001,2021,Q2,,unknown_not_recovered,annual_budget,2021-12-31,2022-02-15,approved_verified_minutes,,,richmond_q2_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P001:2021:Q3,richmondvalley:candidate:P001,2021,Q3,,unknown_not_recovered,annual_budget,2022-03-31,2022-05-17,approved_verified_minutes,,,richmond_q3_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P001:2021:ACTUAL,richmondvalley:candidate:P001,2021,ACTUAL,,unknown_not_recovered,annual_actual,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P002:2021:B0,richmondvalley:candidate:P002,2021,B0,,unknown_not_recovered,annual_budget,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P002:2021:Q1,richmondvalley:candidate:P002,2021,Q1,,unknown_not_recovered,annual_budget,2021-09-30,2021-10-19,approved_verified_minutes,,,richmond_q1_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P002:2021:Q2,richmondvalley:candidate:P002,2021,Q2,,unknown_not_recovered,annual_budget,2021-12-31,2022-02-15,approved_verified_minutes,,,richmond_q2_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P002:2021:Q3,richmondvalley:candidate:P002,2021,Q3,,unknown_not_recovered,annual_budget,2022-03-31,2022-05-17,approved_verified_minutes,,,richmond_q3_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P002:2021:ACTUAL,richmondvalley:candidate:P002,2021,ACTUAL,,unknown_not_recovered,annual_actual,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P003:2021:B0,richmondvalley:candidate:P003,2021,B0,,unknown_not_recovered,annual_budget,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P003:2021:Q1,richmondvalley:candidate:P003,2021,Q1,,unknown_not_recovered,annual_budget,2021-09-30,2021-10-19,approved_verified_minutes,,,richmond_q1_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P003:2021:Q2,richmondvalley:candidate:P003,2021,Q2,,unknown_not_recovered,annual_budget,2021-12-31,2022-02-15,approved_verified_minutes,,,richmond_q2_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P003:2021:Q3,richmondvalley:candidate:P003,2021,Q3,,unknown_not_recovered,annual_budget,2022-03-31,2022-05-17,approved_verified_minutes,,,richmond_q3_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P003:2021:ACTUAL,richmondvalley:candidate:P003,2021,ACTUAL,,unknown_not_recovered,annual_actual,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P004:2021:B0,richmondvalley:candidate:P004,2021,B0,,unknown_not_recovered,annual_budget,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P004:2021:Q1,richmondvalley:candidate:P004,2021,Q1,,unknown_not_recovered,annual_budget,2021-09-30,2021-10-19,approved_verified_minutes,,,richmond_q1_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P004:2021:Q2,richmondvalley:candidate:P004,2021,Q2,,unknown_not_recovered,annual_budget,2021-12-31,2022-02-15,approved_verified_minutes,,,richmond_q2_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P004:2021:Q3,richmondvalley:candidate:P004,2021,Q3,,unknown_not_recovered,annual_budget,2022-03-31,2022-05-17,approved_verified_minutes,,,richmond_q3_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P004:2021:ACTUAL,richmondvalley:candidate:P004,2021,ACTUAL,,unknown_not_recovered,annual_actual,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P005:2021:B0,richmondvalley:candidate:P005,2021,B0,,unknown_not_recovered,annual_budget,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P005:2021:Q1,richmondvalley:candidate:P005,2021,Q1,,unknown_not_recovered,annual_budget,2021-09-30,2021-10-19,approved_verified_minutes,,,richmond_q1_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P005:2021:Q2,richmondvalley:candidate:P005,2021,Q2,,unknown_not_recovered,annual_budget,2021-12-31,2022-02-15,approved_verified_minutes,,,richmond_q2_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P005:2021:Q3,richmondvalley:candidate:P005,2021,Q3,,unknown_not_recovered,annual_budget,2022-03-31,2022-05-17,approved_verified_minutes,,,richmond_q3_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P005:2021:ACTUAL,richmondvalley:candidate:P005,2021,ACTUAL,,unknown_not_recovered,annual_actual,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P006:2021:B0,richmondvalley:candidate:P006,2021,B0,,unknown_not_recovered,annual_budget,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P006:2021:Q1,richmondvalley:candidate:P006,2021,Q1,,unknown_not_recovered,annual_budget,2021-09-30,2021-10-19,approved_verified_minutes,,,richmond_q1_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P006:2021:Q2,richmondvalley:candidate:P006,2021,Q2,,unknown_not_recovered,annual_budget,2021-12-31,2022-02-15,approved_verified_minutes,,,richmond_q2_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P006:2021:Q3,richmondvalley:candidate:P006,2021,Q3,,unknown_not_recovered,annual_budget,2022-03-31,2022-05-17,approved_verified_minutes,,,richmond_q3_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P006:2021:ACTUAL,richmondvalley:candidate:P006,2021,ACTUAL,,unknown_not_recovered,annual_actual,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P007:2021:B0,richmondvalley:candidate:P007,2021,B0,,unknown_not_recovered,annual_budget,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P007:2021:Q1,richmondvalley:candidate:P007,2021,Q1,,unknown_not_recovered,annual_budget,2021-09-30,2021-10-19,approved_verified_minutes,,,richmond_q1_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P007:2021:Q2,richmondvalley:candidate:P007,2021,Q2,,unknown_not_recovered,annual_budget,2021-12-31,2022-02-15,approved_verified_minutes,,,richmond_q2_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P007:2021:Q3,richmondvalley:candidate:P007,2021,Q3,,unknown_not_recovered,annual_budget,2022-03-31,2022-05-17,approved_verified_minutes,,,richmond_q3_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P007:2021:ACTUAL,richmondvalley:candidate:P007,2021,ACTUAL,,unknown_not_recovered,annual_actual,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P008:2021:B0,richmondvalley:candidate:P008,2021,B0,,unknown_not_recovered,annual_budget,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P008:2021:Q1,richmondvalley:candidate:P008,2021,Q1,,unknown_not_recovered,annual_budget,2021-09-30,2021-10-19,approved_verified_minutes,,,richmond_q1_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P008:2021:Q2,richmondvalley:candidate:P008,2021,Q2,,unknown_not_recovered,annual_budget,2021-12-31,2022-02-15,approved_verified_minutes,,,richmond_q2_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P008:2021:Q3,richmondvalley:candidate:P008,2021,Q3,,unknown_not_recovered,annual_budget,2022-03-31,2022-05-17,approved_verified_minutes,,,richmond_q3_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P008:2021:ACTUAL,richmondvalley:candidate:P008,2021,ACTUAL,,unknown_not_recovered,annual_actual,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P009:2021:B0,richmondvalley:candidate:P009,2021,B0,,unknown_not_recovered,annual_budget,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P009:2021:Q1,richmondvalley:candidate:P009,2021,Q1,,unknown_not_recovered,annual_budget,2021-09-30,2021-10-19,approved_verified_minutes,,,richmond_q1_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P009:2021:Q2,richmondvalley:candidate:P009,2021,Q2,,unknown_not_recovered,annual_budget,2021-12-31,2022-02-15,approved_verified_minutes,,,richmond_q2_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P009:2021:Q3,richmondvalley:candidate:P009,2021,Q3,,unknown_not_recovered,annual_budget,2022-03-31,2022-05-17,approved_verified_minutes,,,richmond_q3_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P009:2021:ACTUAL,richmondvalley:candidate:P009,2021,ACTUAL,,unknown_not_recovered,annual_actual,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P010:2021:B0,richmondvalley:candidate:P010,2021,B0,3000000.0,reported_candidate,annual_budget,,,unknown,richmond_plan2022,66.0,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P010:2021:Q1,richmondvalley:candidate:P010,2021,Q1,,unknown_not_recovered,annual_budget,2021-09-30,2021-10-19,approved_verified_minutes,,,richmond_q1_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P010:2021:Q2,richmondvalley:candidate:P010,2021,Q2,,unknown_not_recovered,annual_budget,2021-12-31,2022-02-15,approved_verified_minutes,,,richmond_q2_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P010:2021:Q3,richmondvalley:candidate:P010,2021,Q3,,unknown_not_recovered,annual_budget,2022-03-31,2022-05-17,approved_verified_minutes,,,richmond_q3_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P010:2021:ACTUAL,richmondvalley:candidate:P010,2021,ACTUAL,,unknown_not_recovered,annual_actual,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P011:2021:B0,richmondvalley:candidate:P011,2021,B0,,unknown_not_recovered,annual_budget,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P011:2021:Q1,richmondvalley:candidate:P011,2021,Q1,,unknown_not_recovered,annual_budget,2021-09-30,2021-10-19,approved_verified_minutes,,,richmond_q1_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P011:2021:Q2,richmondvalley:candidate:P011,2021,Q2,,unknown_not_recovered,annual_budget,2021-12-31,2022-02-15,approved_verified_minutes,,,richmond_q2_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P011:2021:Q3,richmondvalley:candidate:P011,2021,Q3,,unknown_not_recovered,annual_budget,2022-03-31,2022-05-17,approved_verified_minutes,,,richmond_q3_minutes,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P011:2021:ACTUAL,richmondvalley:candidate:P011,2021,ACTUAL,,unknown_not_recovered,annual_actual,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
richmondvalley:candidate:P012:2021:B0,richmondvalley:candidate:P012,2021,B0,,unknown_not_recovered,annual_budget,,,unknown,,,,Review-level date; project-level adoption and scope need verification,0
