council_key,council_name,included,in_2015_full_year_list,reason,boundary_certification,evidence
albury,Albury,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
armidale,Armidale Regional,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
ballina,Ballina,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
balranald,Balranald,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
bathurst,Bathurst Regional,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
bayside,Bayside,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
begavalley,Bega Valley,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
bellingen,Bellingen,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
berrigan,Berrigan,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
blacktown,Blacktown,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
bland,Bland,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
blayney,Blayney,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
bluemountains,Blue Mountains,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
bogan,Bogan,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
bourke,Bourke,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
brewarrina,Brewarrina,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
brokenhill,Broken Hill,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
burwood,Burwood,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
byron,Byron,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
