council_key,year_start,financial_year,component,raw_value,source_unit,value_aud,source_id,source_url,source_location,source_header,report_vintage,definition_caveat,evidence_type
balranald,2019,2019-20,total_expenses,15144.0,AUD thousands,15144000.0,time-series-data-2019-2020.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils!AI7," Total Expenses from Continuing Operations 
($'000) ",2020,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2019,2019-20,total_revenue_including_capital,18810.0,AUD thousands,18810000.0,time-series-data-2019-2020.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils!AJ7,"Total Revenue from Continuing Operations 
($'000)",2020,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2019,2019-20,result_before_capital,-391.0,AUD thousands,-391000.0,time-series-data-2019-2020.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils!AK7,"Net Operating result before Capital
($'000)",2020,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2019,2019-20,residential_rates,372.0,AUD thousands,372000.0,time-series-data-2019-2020.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils!AL7,"Total Residential Rating Revenue 
($'000)",2020,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2019,2019-20,farmland_rates,1075.0,AUD thousands,1075000.0,time-series-data-2019-2020.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils!AO7,"Total Farmland Rates Revenue
($'000)",2020,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2019,2019-20,business_rates,766.0,AUD thousands,766000.0,time-series-data-2019-2020.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils!AR7,"Total Business Rates Revenue
($'000)",2020,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2019,2019-20,mining_rates,,AUD thousands,,time-series-data-2019-2020.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils!AU7,"Total Mining Rates Revenue 
($'000) ",2020,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2020,2020-21,total_expenses,14675000.0,AUD,14675000.0,time-series-data-2020-2021.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils!AI7," Total Expenses from Continuing Operations 
($) ",2021,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2020,2020-21,total_revenue_including_capital,19113000.0,AUD,19113000.0,time-series-data-2020-2021.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils!AJ7,"Total Revenue from Continuing Operations 
($)",2021,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2020,2020-21,result_before_capital,753000.0,AUD,753000.0,time-series-data-2020-2021.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils!AK7,"Net Operating result before Capital
($)",2021,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2020,2020-21,residential_rates,342000.0,AUD,342000.0,time-series-data-2020-2021.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils!AL7,"Total Residential Rating Revenue 
($)",2021,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2020,2020-21,farmland_rates,1280000.0,AUD,1280000.0,time-series-data-2020-2021.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils!AO7,"Total Farmland Rates Revenue
($)",2021,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2020,2020-21,business_rates,936000.0,AUD,936000.0,time-series-data-2020-2021.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils!AR7,"Total Business Rates Revenue
($)",2021,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2020,2020-21,mining_rates,0.0,AUD,0.0,time-series-data-2020-2021.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils!AU7,"Total Mining Rates Revenue 
($) ",2021,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2021,2021-22,total_expenses,15292000.0,AUD,15292000.0,time-series-data-2021-22.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils!AI7," Total Expenses from Continuing Operations 
($) ",2022,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2021,2021-22,total_revenue_including_capital,20688000.0,AUD,20688000.0,time-series-data-2021-22.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils!AJ7,"Total Revenue from Continuing Operations 
($)",2022,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2021,2021-22,result_before_capital,1656000.0,AUD,1656000.0,time-series-data-2021-22.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils!AK7,"Net Operating result before Capital
($)",2022,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
balranald,2021,2021-22,residential_rates,400000.0,AUD,400000.0,time-series-data-2021-22.xlsx,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils!AL7,"Total Residential Rating Revenue 
($)",2022,Continuing revenue includes capital. Before-capital result is not necessarily adjusted OP numerator.,OLG original cell
