council_key,year_start,financial_year,category_id,category_label,official_category_id,id_basis,scope_class,quality_status,carryover_aud,notes,ordinary_scope_verified,year_end_same_scope_verified,causal_eligible,B0_aud,B0_source_id,B0_page,B0_source_url,B0_status,Q1_aud,Q1_source_id,Q1_page,Q1_source_url,Q1_status,Q2_aud,Q2_source_id,Q2_page,Q2_source_url,Q2_status,Q3_aud,Q3_source_id,Q3_page,Q3_source_url,Q3_status,ACTUAL_aud,ACTUAL_source_id,ACTUAL_page,ACTUAL_source_url,ACTUAL_status
richmondvalley,2021,2021-22,richmondvalley:festivals_and_events,Festivals and Events,,analyst_label_key_not_official_project_id,mixed_or_unverified,usable_for_descriptive_budget_only,0.0,"Q2 is the approved pre-March budget, checked against Q2 attachment p117. Monthly transfers included by Q2; Q1 taken from contemporaneous Q1 table. Not ordinary-only.",False,False,False,0.0,richmond_q3,8.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,0,richmond_q1,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,observed,0,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,0,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,,,,,missing_not_reconstructed
richmondvalley,2021,2021-22,richmondvalley:swimming_pools,Swimming Pools,,analyst_label_key_not_official_project_id,mixed_or_unverified,usable_for_descriptive_budget_only,1808.0,"Q2 is the approved pre-March budget, checked against Q2 attachment p117. Monthly transfers included by Q2; Q1 taken from contemporaneous Q1 table. Not ordinary-only.",False,False,False,6085000.0,richmond_q3,8.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,5001808,richmond_q1,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,observed,5021808,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,3459630,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,,,,,missing_not_reconstructed
richmondvalley,2021,2021-22,richmondvalley:libraries,Libraries,,analyst_label_key_not_official_project_id,mixed_or_unverified,usable_for_descriptive_budget_only,302212.0,"Q2 is the approved pre-March budget, checked against Q2 attachment p117. Monthly transfers included by Q2; Q1 taken from contemporaneous Q1 table. Not ordinary-only.",False,False,False,106333.0,richmond_q3,8.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,408545,richmond_q1,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,observed,612473,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,658982,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,,,,,missing_not_reconstructed
richmondvalley,2021,2021-22,richmondvalley:emergency_management,Emergency Management,,analyst_label_key_not_official_project_id,mixed_or_unverified,usable_for_descriptive_budget_only,238189.0,"Q2 is the approved pre-March budget, checked against Q2 attachment p117. Monthly transfers included by Q2; Q1 taken from contemporaneous Q1 table. Not ordinary-only.",False,False,False,0.0,richmond_q3,8.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,641857,richmond_q1,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,observed,641857,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,641857,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,,,,,missing_not_reconstructed
richmondvalley,2021,2021-22,richmondvalley:cemeteries,Cemeteries,,analyst_label_key_not_official_project_id,mixed_or_unverified,usable_for_descriptive_budget_only,75331.0,"Q2 is the approved pre-March budget, checked against Q2 attachment p117. Monthly transfers included by Q2; Q1 taken from contemporaneous Q1 table. Not ordinary-only.",False,False,False,60000.0,richmond_q3,8.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,135331,richmond_q1,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,observed,135331,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,95331,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,,,,,missing_not_reconstructed
richmondvalley,2021,2021-22,richmondvalley:sports_grounds_parks_and_facilities,"Sports Grounds, Parks and Facilities",,analyst_label_key_not_official_project_id,mixed_or_unverified,usable_for_descriptive_budget_only,528799.0,"Q2 is the approved pre-March budget, checked against Q2 attachment p117. Monthly transfers included by Q2; Q1 taken from contemporaneous Q1 table. Not ordinary-only.",False,False,False,6962551.0,richmond_q3,8.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,5586350,richmond_q1,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,observed,5750192,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,4357063,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,,,,,missing_not_reconstructed
richmondvalley,2021,2021-22,richmondvalley:community_centres_and_halls,Community Centres and Halls,,analyst_label_key_not_official_project_id,mixed_or_unverified,usable_for_descriptive_budget_only,91758.0,"Q2 is the approved pre-March budget, checked against Q2 attachment p117. Monthly transfers included by Q2; Q1 taken from contemporaneous Q1 table. Not ordinary-only.",False,False,False,1514578.0,richmond_q3,8.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,1609436,richmond_q1,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,observed,1712042,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,1621133,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,,,,,missing_not_reconstructed
richmondvalley,2021,2021-22,richmondvalley:building_and_maintaining_roads,Building and Maintaining Roads,,analyst_label_key_not_official_project_id,mixed_or_unverified,usable_for_descriptive_budget_only,3298937.0,"Q2 is the approved pre-March budget, checked against Q2 attachment p117. Monthly transfers included by Q2; Q1 taken from contemporaneous Q1 table. Not ordinary-only.",False,False,False,10470527.0,richmond_q3,8.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,16538610,richmond_q1,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,observed,16456392,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,14181440,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,,,,,missing_not_reconstructed
richmondvalley,2021,2021-22,richmondvalley:community_engagement_consultation_communication,"Community Engagement, Consultation & Communication",,analyst_label_key_not_official_project_id,mixed_or_unverified,usable_for_descriptive_budget_only,0.0,"Q2 is the approved pre-March budget, checked against Q2 attachment p117. Monthly transfers included by Q2; Q1 taken from contemporaneous Q1 table. Not ordinary-only.",False,False,False,0.0,richmond_q3,8.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,244,richmond_q1,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,observed,244,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,244,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,,,,,missing_not_reconstructed
richmondvalley,2021,2021-22,richmondvalley:community_programs_and_grants,Community Programs and Grants,,analyst_label_key_not_official_project_id,mixed_or_unverified,usable_for_descriptive_budget_only,0.0,"Q2 is the approved pre-March budget, checked against Q2 attachment p117. Monthly transfers included by Q2; Q1 taken from contemporaneous Q1 table. Not ordinary-only.",False,False,False,0.0,richmond_q3,8.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,0,richmond_q1,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,observed,0,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,0,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,,,,,missing_not_reconstructed
richmondvalley,2021,2021-22,richmondvalley:economic_development,Economic Development,,analyst_label_key_not_official_project_id,mixed_or_unverified,usable_for_descriptive_budget_only,0.0,"Q2 is the approved pre-March budget, checked against Q2 attachment p117. Monthly transfers included by Q2; Q1 taken from contemporaneous Q1 table. Not ordinary-only.",False,False,False,0.0,richmond_q3,8.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,0,richmond_q1,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,observed,0,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,0,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,observed,,,,,missing_not_reconstructed
