variable,policy_locator,required_pre_decision_measure,public_recovery_status,unit_or_boundary,source_url,complete_two_outcome_coverage,independence_warning
damage_reconstruction_estimate,Eligibility §§6–7; funding §11,Original independently documented damage/site assessment; Category B restore-to-function estimate before review,None across certified application universe; Boulia REPA totals are not project-level Betterment baselines,AUD; source engineer/date/asset IDs,https://www.qra.qld.gov.au/sites/default/files/2022-06/DRFA%20CAT%20D%20%26%20CAT%20E%20Queensland%20Betterment%20Guideline%20-%20Version%202_%20June%202022.pdf,False,Applicant submission quality may itself reflect capacity; separate underlying damage from presentation/assessor judgement. No causal interpretation.
requested_betterment_and_total_cost,Funding §§11–17; assessment b,"Separate initial Betterment increment, base REPA, total cost, co-contribution and GST",Ipswich bundled requested REPA value only; not a separable Betterment request,AUD; original submission version,https://www.qra.qld.gov.au/sites/default/files/2022-06/DRFA%20CAT%20D%20%26%20CAT%20E%20Queensland%20Betterment%20Guideline%20-%20Version%202_%20June%202022.pdf,False,Applicant submission quality may itself reflect capacity; separate underlying damage from presentation/assessor judgement. No causal interpretation.
hazard_risk_options,Assessment a,"Pre-decision hazard/risk assessment, options and inaction case",Application dossiers not public in reviewed sources,Hazard-specific measures; no generic index,https://www.qra.qld.gov.au/sites/default/files/2022-06/DRFA%20CAT%20D%20%26%20CAT%20E%20Queensland%20Betterment%20Guideline%20-%20Version%202_%20June%202022.pdf,False,Applicant submission quality may itself reflect capacity; separate underlying damage from presentation/assessor judgement. No causal interpretation.
cost_benefit_bcr,Assessment b,"Submitted CBA/BCR with horizon, discount rate, assumptions, avoided costs and nonfinancial benefits",No application-specific BCR or assessor score recovered,Ratio and component AUD; do not use realised avoided costs,https://www.qra.qld.gov.au/sites/default/files/2022-06/DRFA%20CAT%20D%20%26%20CAT%20E%20Queensland%20Betterment%20Guideline%20-%20Version%202_%20June%202022.pdf,False,Applicant submission quality may itself reflect capacity; separate underlying damage from presentation/assessor judgement. No causal interpretation.
community_benefit,Assessment c,Quantified affected users/access/service benefits at application,Retrospective selected-success narratives only; no comparable baseline,Original quantified measures with units,https://www.qra.qld.gov.au/sites/default/files/2022-06/DRFA%20CAT%20D%20%26%20CAT%20E%20Queensland%20Betterment%20Guideline%20-%20Version%202_%20June%202022.pdf,False,Applicant submission quality may itself reflect capacity; separate underlying damage from presentation/assessor judgement. No causal interpretation.
vulnerability_remoteness,Prioritisation §19,Contemporaneous vulnerable groups/diverse populations and geographic remoteness,No project footprints/beneficiary records; council-wide proxies alone insufficient,"Counts, shares or ABS category separately",https://www.qra.qld.gov.au/sites/default/files/2022-06/DRFA%20CAT%20D%20%26%20CAT%20E%20Queensland%20Betterment%20Guideline%20-%20Version%202_%20June%202022.pdf,False,Applicant submission quality may itself reflect capacity; separate underlying damage from presentation/assessor judgement. No causal interpretation.
asset_project_type,Eligibility §7; assessment a/d,Original asset class and scope,221 public asset labels; formal class/scope and negative cases missing,Categorical; no guess from names in main data,https://www.qra.qld.gov.au/sites/default/files/2022-06/DRFA%20CAT%20D%20%26%20CAT%20E%20Queensland%20Betterment%20Guideline%20-%20Version%202_%20June%202022.pdf,False,Applicant submission quality may itself reflect capacity; separate underlying damage from presentation/assessor judgement. No causal interpretation.
deliverability_technical_evidence,Assessment d; application §27; §28 is post-approval and excluded,"Pre-decision investigation, consultation, engineering/options evidence; readiness and approvals",No full original application evidence for both outcomes,Dated checklist; not later construction progress,https://www.qra.qld.gov.au/sites/default/files/2022-06/DRFA%20CAT%20D%20%26%20CAT%20E%20Queensland%20Betterment%20Guideline%20-%20Version%202_%20June%202022.pdf,False,Applicant submission quality may itself reflect capacity; separate underlying damage from presentation/assessor judgement. No causal interpretation.
innovation,Assessment e,Original innovative design/resilience evidence,Not recovered consistently,Assessed dimension; optional according to guideline,https://www.qra.qld.gov.au/sites/default/files/2022-06/DRFA%20CAT%20D%20%26%20CAT%20E%20Queensland%20Betterment%20Guideline%20-%20Version%202_%20June%202022.pdf,False,Applicant submission quality may itself reflect capacity; separate underlying damage from presentation/assessor judgement. No causal interpretation.
regional_balance_other_funding,Prioritisation §19,"Alternative funding, duplication and local/regional balance considered at assessment",Not recovered at application level,"Context and decision batch, distinct from capacity",https://www.qra.qld.gov.au/sites/default/files/2022-06/DRFA%20CAT%20D%20%26%20CAT%20E%20Queensland%20Betterment%20Guideline%20-%20Version%202_%20June%202022.pdf,False,Applicant submission quality may itself reflect capacity; separate underlying damage from presentation/assessor judgement. No causal interpretation.
assessment_scores_recommendation,Assessment and final approval §§19–21,"Criteria-level assessor scores/recommendation, overrides, timestamps",No public scored register recovered,Keep recommendation as audit label; not a direct predictor of approval,https://www.qra.qld.gov.au/sites/default/files/2022-06/DRFA%20CAT%20D%20%26%20CAT%20E%20Queensland%20Betterment%20Guideline%20-%20Version%202_%20June%202022.pdf,False,Applicant submission quality may itself reflect capacity; separate underlying damage from presentation/assessor judgement. No causal interpretation.
