priority,owner,fields_requested,why,format_period,gate
1,All five councils,"Project ledger covering original budget, each approved revision, final budget and actual; transaction basis; stable project and asset IDs; split/merge/recode history",Resolve exact same-scope budget chain and nominal vs real amount,CSV/XLSX one project-stage-year row; include zero/cancelled projects,No final model until linked
1,All five councils,"Disaster reconstruction/event/job codes, ordinary/recovery split, damage/access assessment date and status",Exclude directly damaged/inaccessible assets rather than guessing from road or renewal labels,Project-to-asset-to-event crosswalk and damage records,Required
1,All five councils,"Original milestone/completion dates, revised dates, actual completion, deferral/cancellation reason and decision date","Distinguish rephasing, scope removal and displacement",Dated project register and minutes references,Required
1,All five councils,At least3 pre-event and2 post-event financial years of same-scope quarterly portfolios,Estimate ordinary revision patterns and test pretrends; current pilot has no causal baseline,"Euro/Griff FY2016-17..2021-22; northern group/Wagga FY2018-19..2023-24, flag later disasters",Required
1,Lismore,Confirm year/unit headings; reconcile detailed capital rows to total; explain renewal Other negative; approved May5m transfer; reconcile cash IPPE,Release quarantined values,Original budget workbook and version export,Required
1,Wagga Wagga,Original adopted capital program including pending allocation; correct Sep one-off movement discrepancy; project actuals,Complete comparator baseline and same-basis actual,FY2021-22 workbook,Required
1,Richmond Valley,"Reconcile program capital to cash IPPE, map Cell6/pool/roads to original IDs and final actual; AGRN960-to1012 transition",Avoid treating repairs reclassified to new disaster as ordinary cuts,FY2021-22 and carryovers2022-23,Required
1,Eurobodalla,Adopted Q2/Q3 minutes and final category/project actual; pre-fire funding/major-project rephasing reasons,Confirm status and avoid attributing pre-fire revision to fire,FY2019-20 version records,Required
1,Griffith,Reconcile cash-flow original545 discrepancy; function-to-project actual bridge; confirm physical flood/exposure negatives,Validate comparison measurement and treatment status,FY2019-20 ledger and exposure audit,Required
2,Expanded comparison pool,Whole-event exposure/closure/spillover screen and pre-event fiscal measurements with source publication dates,Validate contrasts and increase independent council/event support,No arbitrary minimum row count; prospective clustered power/identification assessment,Before scaling
2,All five councils,"Grant claims/advance/reimbursement dates and amounts, contractor/staff deployment, material constraints",Separate fiscal capacity mechanism from physical access and labour supply,Project-month administrative records,Needed for mechanism claims
