record_id,council,fiscal_year,evidence_date,measurement_date,publication_or_adoption_date,project_ref,project_name,stage,record_type,field_group,field_name,scope,value_text,reason,budget_basis,original_or_current_budget_aud,carry_forward_aud,variation_aud,revised_budget_aud,actual_aud,committed_aud,actual_plus_committed_aud,capacity_metric,capacity_value,capacity_unit,capacity_scope,planning_application,site_or_address,funding_source,ordinary_recovery_classification,disaster_causation_status,damage_access_status,source_type,evidence_quality,verification_status,certification_effect,model_ready,source_title,source_url,source_locator,notes
BAL-016,Ballina Shire Council,2015-16 to 2020-21,2026-09-19,,,,,,source_availability,pre_event_history,official annual documents,,"Official archive exposes annual reports, financial statements, delivery/operational plans and budgets back through 2015/16 and earlier.",,,,,,,,,,,,,,,,,,,,,official_archive,carried_forward_from_first_public_source_pass,three_pre_event_years_document_available_not_yet_project_certified,NO,Previous Integrated Planning and Reporting documents,https://www.ballina.nsw.gov.au/Council/Forms-and-Documents/Integrated-Planning-and-Reporting/Planning-and-Delivery/Previous-Integrated-Planning-and-Reporting-documents,2015/16 through 2020/21 sections,
BAL-001,Ballina Shire Council,2016-17,2017-04-27,,,,Wollongbar Skate Park,,budget_revision,budget_timing,Q3 deferral,,"Current budget $500,000; revised budget $50,000; variation -$450,000; transfer to 2017/18.",,current budget at March 2017 review,500000,,-450000,50000,,,,,,,,,,,ordinary_candidate,not_supported; predates 2019-20 disasters,,,official_council_agenda,carried_forward_from_first_public_source_pass,negative_causation_evidence,NO,Capital Expenditure Review - 31 March 2017,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2017/27-april-2017-om/270417_ordinary_agenda_27_april_2017.pdf,Item 10.10; budget adjustment table,Shows the same named project was already being deferred before Black Summer; a later deferral cannot be assumed disaster-caused.
BAL-002,Ballina Shire Council,2017-18,2018-04-26,,,,Wollongbar Skate Park,,budget_revision,budget_timing,Q3 deferral,,"Current budget $500,000; revised budget $50,000; source reports variation -$350,000; transfer to 2018/19.",,current budget at March 2018 review,500000,,-350000,50000,,,,,,,,,,,ordinary_candidate,explicit_non_disaster_reason_in_same_report,,,official_council_agenda_with_internal_numeric_conflict,carried_forward_from_first_public_source_pass,retain_conflict; do_not_silently_correct,NO,Capital Expenditure Program - 31 March 2018 Review,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2018/26-apr-2018/ordinary/260418_ordinary_agenda_26_april_2018.pdf,pp. 71 and 75,"500,000 -> 50,000 arithmetically implies -450,000, but the official table prints -350,000. Preserve the source discrepancy."
BAL-003,Ballina Shire Council,2017-18,2018-04-26,,,,Wollongbar Skate Park,,decision_reason,causation,deferral_reason,,Large part of the budget recommended to roll forward because planning consent would not be reported until at least the May meeting.,,,,,,,,,,,,,,DA 2017/554 context,,,ordinary_candidate,non_disaster_planning_delay_documented,,,official_council_agenda,carried_forward_from_first_public_source_pass,strong_negative_for_disaster_causation,NO,Capital Expenditure Program - 31 March 2018 Review,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2018/26-apr-2018/ordinary/260418_ordinary_agenda_26_april_2018.pdf,p. 71,Council states contractor had been appointed and timing depended on planning approval.
BAL-004,Ballina Shire Council,2017-18,2018-03-22,,,,Skate park proposal,,planning_identity,project_identity,DA/site,,"DA 2017/554: Construction of a skate park - Elvery Lane, Alstonville; awaiting additional information.",,,,,,,,,,,,,,2017/554,"Elvery Lane, Alstonville",,ordinary_candidate,not_applicable,,,official_council_agenda,carried_forward_from_first_public_source_pass,identity_crosswalk_required,NO,Development Applications - Works in Progress - March 2018,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2018/22-mar-2018/ordinary/ordinary_agenda_22_march_2018.pdf,p. 80,The site/DA does not match the later Wollongbar District Park scheme.
BAL-038,Ballina Shire Council,2017-18,,,,,,,accounting_definition,accounting_comparability,including_commitments_column,capital expenditure table,Year-end capital report explicitly includes an 'Including Commitments' column; report says this gives a more accurate position near year end.,,,,,,,,,,,,,,,,,,,,official_annual_report,official_primary_source,public_source_verified,schema_differs_across_years,NO,Ballina Shire Council Annual Report 2017-18,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/council-documents/annual-report-2017-18.pdf,Capital expenditure tables,Do not compare this basis mechanically with later cash-only 'Expended This Year' fields.
BAL-005,Ballina Shire Council,2018-19,2018-09-27,,,,Plateau skate park options,,planning_identity,project_identity,prior_DA_outcome,,Council comments state it had previously knocked back a development application for a skate park at the Wollongbar Sports Fields and was then asked to consider another site.,,,,,,,,,,,,,,prior DA; exact crosswalk still required,Wollongbar Sports Fields,,ordinary_candidate,not_applicable,,,official_council_agenda,carried_forward_from_first_public_source_pass,breaks_assumption_of_unchanged_asset,NO,Alstonville/Wollongbar Skate Park Options,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2018/27-sep-2018/ordinary-agenda-27-september-2018.pdf,p. 111,Same broad project label spans a refused proposal and subsequent alternative-site work.
BAL-006,Ballina Shire Council,2018-19,2019-03-28,,,,Wollongbar District Park / proposed skate park,,planning_identity,project_identity,new_concept_site,,Council resolved to publicly exhibit a draft district-park concept at Plateau Drive inclusive of the proposed skate park.,,,,,,,,,,,,,,,"Plateau Drive, Wollongbar",,ordinary_candidate,not_applicable,,,official_council_minutes,carried_forward_from_first_public_source_pass,identity_crosswalk_required,NO,Wollongbar - Alstonville - Skate Park Site Options,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/ordinary-minutes-28-march-2019-2.pdf,Item 10.1; p. 3,This later concept is materially different from the 2017/554 proposal.
BAL-008,Ballina Shire Council,2018-19,2019-06-30,,,2160,Wollongbar Skate Park,,annual_capital_row,budget_chain,year_end,,"Original estimate 450,000; carry forward 15,000; approved variations -450,000; latest estimate 15,000; expended 16,300; status: concept plan endorsed, planning application in process.",,original annual estimate,450000,15000,-450000,15000,16300,,,,,,,,,,ordinary_candidate,no_disaster_reason_stated,,,official_annual_report,carried_forward_from_first_public_source_pass,numeric_chain_supported_but_identity_unresolved,NO,Ballina Shire Council Annual Report 2018-19,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/council-documents/annual-report-2018_2019-resized.pdf,Capital Expenditure - Open Spaces row 2160,
BAL-017,Ballina Shire Council,2018-19,2019-04-24,,2019-04-24,,Ocean Breeze Reserve Amenities,Q3,budget_revision,pre_event_revision_baseline,routine_revision,capital project line,Current=90000; revised=0; variation=-90000,Transfer to 2019/20.,March 2019 capital expenditure review,90000,,-90000,0,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_Black_Summer; non_disaster_baseline,not_applicable_pre_event,official_council_agenda,official_primary_source,public_source_verified,establishes_routine_pre_event_rephasing,NO,Ballina capital expenditure review - March 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-april-2019/ordinary/ordinary-agenda-24-april-2019.pdf,Capital expenditure review / project adjustment table,Important negative-control evidence: budget rephasing occurred routinely before the disaster period.
