evidence_id,source_id,council_key,year_start,financial_year,field,value,value_status,raw_value,raw_wording,unit,page_or_table,accounting_category,asset_scope,verification_status,confidence,document_date,primary_eligible,eligibility_reason,source_url,source_local_file,source_sha256
E010,lismore_budget2023,lismore,2020,2020-21,disaster_related_operating_cost_candidate,6914000.0,observed,"6,914,000",RMS Natural Disaster Funding,AUD,PDF p33 / Expenses / Actual June 2020/21,reconstruction_or_emergency_mixture,road disaster operating expense line,text_and_visual_verified,high for reported value; applicability limited as noted,,False,Expense section establishes cost-side placement; phase/event breakdown absent. Not pure reconstruction and not 2021/22.,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/2022-2023-budget-by-program.pdf,sources/lismore_budget2023.pdf,6e938656f61479fd92742b67e1c41723a57d08541192dff7a68564b610f1f393
E016,richmond_ar2022,richmondvalley,2021,2021-22,srv_maintenance_funded_amount,50000.0,observed,"$50,000",road maintenance,AUD,PDF p68 / printed p66 / SRV expenditure,ambiguous_budget_actual_mixture,SRV incremental road-maintenance funding only,text_verified,high for reported value; applicability limited as noted,,False,Table describes expenditure but row describes maintaining an additional budget; not all-council routine actual and cannot pair with another asset scope.,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Annual-Report-2021-2022-FINAL.pdf,sources/richmond_ar2022.pdf,13f3476d5a1fda53630fb314b541693d566b4aecf5568958e0743c41b1f7dce4
E017,richmond_fs2022,richmondvalley,2021,2021-22,reported_capital_underspend,17030000.0,observed,"$17,030,000",capital expenditure on assets,AUD,PDF p30 / printed p29 / B5-1,capital_works,all capital assets,text_and_visual_verified,high for reported value; applicability limited as noted,,False,"Audited narrative associates underspend with flooding, wet weather and supply/contractor constraints; capital underspend is not routine-maintenance crowd-out.",https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Annual_Financial_Statements-2022.pdf,sources/richmond_fs2022.pdf,6f8c9911f2fb8b199fcdb8fbf7b8a1b9e18e798a16bc182c05ac81834e7b52c1
E018,richmond_fs2022,richmondvalley,2021,2021-22,disaster_emergency_funding_reported,5000000.0,observed,$5mil,emergency and immediate reconstrutction works,AUD,PDF p30 / printed p29 / B5-1,funding_not_expenditure,February 2022 emergency and immediate reconstruction,text_and_visual_verified,high for reported value; applicability limited as noted,,False,Funding amount is not works expenditure or a bank-dated receipt; do not subtract it from maintenance.,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Annual_Financial_Statements-2022.pdf,sources/richmond_fs2022.pdf,6f8c9911f2fb8b199fcdb8fbf7b8a1b9e18e798a16bc182c05ac81834e7b52c1
E019,richmond_recovery,richmondvalley,2021,2021-22,direct_damage_repair_estimate,100000000.0,observed,$100m,Roads and bridges,AUD,PDF p6 / printed pp8-9,damage_repair_estimate,roads and bridges,text_verified,high for reported value; applicability limited as noted,2022-05,False,"Early estimated repair bill, not actual expenditure; record separately from book impairment.",https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/05/Rebuilding-the-Richmond-Valley-2022-25-Recovery-Plan-May-2022_0.pdf,sources/richmond_recovery.pdf,8e13924da9de9c0367bcebb6b666fa6e15ed028ee454491873274c1ea3aeb98d
E020,richmond_recovery,richmondvalley,2021,2021-22,direct_damage_repair_estimate,50000000.0,observed,$50m,Water and sewerage,AUD,PDF p6 / printed pp8-9,damage_repair_estimate,water and sewerage,text_verified,high for reported value; applicability limited as noted,2022-05,False,"Early estimated repair bill, not actual expenditure.",https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/05/Rebuilding-the-Richmond-Valley-2022-25-Recovery-Plan-May-2022_0.pdf,sources/richmond_recovery.pdf,8e13924da9de9c0367bcebb6b666fa6e15ed028ee454491873274c1ea3aeb98d
E021,lismore_damage,lismore,2021,2021-22,direct_damage_repair_estimate_lower_bound,350000000.0,observed,more than $350 million,more than $350 million,AUD,web article / paragraph 2,damage_repair_estimate,all council assets,text_verified,high for reported value; applicability limited as noted,2022-06-01,False,Lower-bound early damage estimate; not reconstruction expenditure.,https://www.lismore.nsw.gov.au/Council/Latest-news-and-updates/Latest-news/Council-Releases-2022-Flood-Response-Report,sources/lismore_damage.html,765bdee7302cd3279cddb3e3c1ea2fa9ae3cb552a7d99a502a8b05e873188c10
E022,lismore_fs2022,lismore,2021,2021-22,planned_materials_services,51367000.0,observed,"51,367 ($000)",Materials and services,AUD,PDF p31 / printed p30 / B5-1,ambiguous_mixture,all council materials and services,text_verified,high for reported value; applicability limited as noted,,False,"Includes emergency works, contractors and essential services; not a routine-maintenance budget.",https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/annual_financial_statements-2022.pdf,sources/lismore_fs2022.pdf,fd04a9ffd9edefe49526d8811d0989451f9ca80d24bb5314260c10dceb6dfac1
E023,lismore_fs2022,lismore,2021,2021-22,actual_materials_services,60171000.0,observed,"60,171 ($000)",,AUD,PDF p31 / printed p30 / B5-1,ambiguous_mixture,all council materials and services,text_verified,high for reported value; applicability limited as noted,,False,Broader operating expense includes disaster response; cannot derive routine maintenance by subtracting grants.,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/annual_financial_statements-2022.pdf,sources/lismore_fs2022.pdf,fd04a9ffd9edefe49526d8811d0989451f9ca80d24bb5314260c10dceb6dfac1
E024,lismore_ar2022,lismore,2021,2021-22,deferred_capital_project,650000.0,observed,"$650,000",Solar Carpark,AUD,PDF p14 / printed pp26-27,capital_works,Clyde Campbell solar carpark,text_verified,high for reported value; applicability limited as noted,,False,"Project delayed by February disaster and commenced June 2022; amount is project value, not deferred routine maintenance.",https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/annual-report-2022.pdf,sources/lismore_ar2022.pdf,48515622f508eb786660be06001bf60bac38196a49941c1080b182caea04cee5
