search_scope,queries_or_route,inspected_source_ids_or_reference,finding,audit_date,search_limit
QRA program/register,QRA 2022 Betterment Fund; 123 submissions; successful project list,qra2022; guideline2022; annex_july; lodgement2022,123 submissions not 123 projects; list has awards only; no eligible unsuccessful register,2026-09-19,"Targeted indexed-source audit, not exhaustive inspection of every council archive; no-result is not proof of no applications"
Broad unsuccessful searches,"""2022"" ""betterment"" ""unsuccessful"" council Queensland; betterment ""2021-22"" ""unsuccessful"" site:qld.gov.au",diamantina2024; somerset_old,"Explicit unsuccessful examples are state agency / wrong round, not eligible council controls",2026-09-19,"Targeted indexed-source audit, not exhaustive inspection of every council archive; no-result is not proof of no applications"
Alternative outcomes,"""2022"" ""betterment"" ""not approved"" council; ""2022"" ""betterment"" ""rejected"" site:qld.gov.au; ""2022"" ""betterment"" ""withdrawn"" site:qld.gov.au",mareeba2022; lodgement2022,Reinstatement rejection does not establish Betterment membership; re-lodgement not terminal withdrawal,2026-09-19,"Targeted indexed-source audit, not exhaustive inspection of every council archive; no-result is not proof of no applications"
Recent council reports,"site:qld.gov.au ""betterment"" ""unsuccessful"" ""2023""; same query with ""2024""",diamantina2024,No verified 2022 eligible local-government negative recovered,2026-09-19,"Targeted indexed-source audit, not exhaustive inspection of every council archive; no-result is not proof of no applications"
Ineligibility search,"site:qld.gov.au ""Betterment"" ""ineligible"" ""2022"" council",boulia_june2023; boulia_feb2024; boulia_nov2022,"Explicit ineligibility found, excluded from eligible comparison group; repeated status observations retained",2026-09-19,"Targeted indexed-source audit, not exhaustive inspection of every council archive; no-result is not proof of no applications"
Boulia follow-up,"site:boulia.qld.gov.au ""Jan-22"" ""Betterment"" ""Approved""; ""Betterment"" ""unsuccessful""; ""Betterment"" ""ineligible"" ""January""",boulia_june2023; boulia_feb2024,January submission remains unresolved in inspected record; REPA approval is a separate decision,2026-09-19,"Targeted indexed-source audit, not exhaustive inspection of every council archive; no-result is not proof of no applications"
Named-council searches,"Betterment unsuccessful on Somerset, Ipswich/Infocouncil, South Burnett, Toowoomba, Scenic Rim and Lockyer Valley official domains",ipswich2023; scenic_pending; scenic_ar2023_attachment; scenic_drfa2024; somerset_old,Lodged/under-assessment narratives and named approvals; no certified negative eligible 2022 case,2026-09-19,"Targeted indexed-source audit, not exhaustive inspection of every council archive; no-result is not proof of no applications"
Other denial wording,"""2022"" ""betterment"" ""declined"" site:qld.gov.au; ""not successful""; ""not funded""; ""2021-2022"" ""Betterment"" ""unsuccessful""",decision_evidence.csv,No additional qualifying negative; search snippets alone not accepted as decision labels,2026-09-19,"Targeted indexed-source audit, not exhaustive inspection of every council archive; no-result is not proof of no applications"
Annual/audit/parliament,"site:qra.qld.gov.au ""2022"" ""123"" betterment annual report; site:parliament.qld.gov.au ""betterment"" ""2022"" ""applications""; site:qao.qld.gov.au ""betterment"" ""2022""",qra_ar2023; treasury2025; qao_future,Aggregate spending/reallocation or planned audit; no application-level eligible rejection register,2026-09-19,"Targeted indexed-source audit, not exhaustive inspection of every council archive; no-result is not proof of no applications"
Disclosure and GIS,QRA RTI disclosure log; public Betterment GIS service directory,rti_log; betterment_gis,"Bon Accord Bridge disclosure documents not publicly hosted in log; GIS returned empty service list, not an application register",2026-09-19,"Targeted indexed-source audit, not exhaustive inspection of every council archive; no-result is not proof of no applications"
Queensland capacity,QAO Local government 2021 Appendix I; Queensland comparative reports; Ipswich annual report 2020-21,qao2021; qao_appendixI; comparative; comparative_current; ipswich_ar2021_current,"Core published ratios recovered; comparative endpoints 403, older catalogue not substituted for 2021",2026-09-19,"Targeted indexed-source audit, not exhaustive inspection of every council archive; no-result is not proof of no applications"
Rejected search leads,Croydon late approval; Quilpie withdrawal/re-lodgement; Blackall-Tambo IMHOFF; Burke successful Betterment adjacent unsuccessful heading,No accepted label: snippets insufficient / other programs or rounds,Preserved as rejected leads only; not coded observations and not evidence of unsuccessful 2022 applications,2026-09-19,"Targeted indexed-source audit, not exhaustive inspection of every council archive; no-result is not proof of no applications"
