variable,priority,documented_priority_cases,case_ids,known_before_forecast,full_panel_feasibility,leakage_risk,scientific_value,availability_verified_case_count,count_caveat
Lagged operating grants and confirmed allocations,High,6,carrathool_2021;carrathool_2022;hay_2021;liverpoolplains_2022;murrayriver_2022;snowymonaro_2022,Lagged published actuals or signed allocations available by cutoff; future realised receipts unavailable,"Medium: consistent statement notes, but manual extraction and vintage checks",High for target-year receipts,High; separates operating funding from capital,0,"Contributor, not proven prediction improvement; overlapping counts; no timestamped predictor panel constructed"
Announced advance payment schedules,High,6,carrathool_2021;carrathool_2022;hay_2021;liverpoolplains_2022;murrayriver_2022;wollongong_2023,Only dated announcements made by cutoff; this audit does not certify historical availability case by case,"Medium-low: schedules, recognition policies and contract conditions required",Very high if inferred from subsequent accounts,High; addresses timing volatility,0,"Contributor, not proven prediction improvement; overlapping counts; no timestamped predictor panel constructed"
Lagged employee/material/other expenses and adopted budgets,High,6,carrathool_2021;carrathool_2022;hay_2021;murrayriver_2023;snowymonaro_2022;wollongong_2023,Published prior accounts and adopted budgets; realised target expense shocks unavailable,Medium-high for actuals; lower for vintage budgets,High for realised target expenses,High; distinguish recurring costs and one-offs,0,"Contributor, not proven prediction improvement; overlapping counts; no timestamped predictor panel constructed"
Lagged depreciation and pre-announced asset-life changes,High,7,carrathool_2021;carrathool_2022;liverpoolplains_2022;murrayriver_2021;murrayriver_2022;murrayriver_2023;wollongong_2023,Prior depreciation known after publication; later revaluation/life changes not known,Medium; uniform notes but valuation policy changes,High for target depreciation revisions,High for explaining low starting ratios,0,"Contributor, not proven prediction improvement; overlapping counts; no timestamped predictor panel constructed"
Lagged revenue mix,Medium,7,carrathool_2021;carrathool_2022;liverpoolplains_2022;murrayriver_2021;murrayriver_2022;murrayriver_2023;snowymonaro_2022,Prior published revenue only; target income not available,Medium-high from audited income statements,High if contemporaneous target used,Useful scale and reliance information,0,"Contributor, not proven prediction improvement; overlapping counts; no timestamped predictor panel constructed"
Adopted rates/fees and approved variations,Medium,2,murrayriver_2022;murrayriver_2023,Adopted schedules may be known; no full historical availability audit completed here,Medium; IPART decisions and council budgets needed,Low for dated approvals; high for realised collections,Potentially forecastable but observed evidence limited,0,"Contributor, not proven prediction improvement; overlapping counts; no timestamped predictor panel constructed"
Dated restatement/asset-accounting flags,High for validity; low as forecast feature,4,hay_2021;murrayriver_2023;snowymonaro_2022;wollongong_2023,Only notices known by cutoff; later restatements must not be backfilled,Medium-low; requires versioned reports,Very high if discovered afterwards,Essential measurement control; not a prediction cure,0,"Contributor, not proven prediction improvement; overlapping counts; no timestamped predictor panel constructed"
Separated operating and capital disaster funding,Medium,3,carrathool_2022;liverpoolplains_2022;murrayriver_2022,Approved amounts/conditions may be known; future approvals/recognition unknown,Low-medium; event and fiscal-year linkage is labour intensive,Very high for realised target grants,High mechanism value; capital grants excluded from OP,0,"Contributor, not proven prediction improvement; overlapping counts; no timestamped predictor panel constructed"
Committed reconstruction costs and expected reimbursements,Conditional,1,murrayriver_2022,Only approved work/cost estimates known by cutoff; realised costs unavailable,"Low; budget, project and reimbursement records needed",Very high for realised costs,"Promising mechanism, weak forecasting evidence",0,"Contributor, not proven prediction improvement; overlapping counts; no timestamped predictor panel constructed"
Routine maintenance versus capital/reconstruction classification,Conditional,1,hay_2021,Prior classification and work programme may be known; reclassification later is not,Low; accounting judgement and project detail,High,Useful measurement control; OP does not measure all reconstruction spending,0,"Contributor, not proven prediction improvement; overlapping counts; no timestamped predictor panel constructed"
Direct council infrastructure damage,Unproven,0,,Only assessments completed by cutoff; occurrence alone does not give cost,Low; no comparable audited monetary series recovered,High for retrospective final damage estimates,No case count established; do not collect indiscriminately,0,"Contributor, not proven prediction improvement; overlapping counts; no timestamped predictor panel constructed"
