source_file,pdf_page,topic,context,interpretation
outputs/experiment3_crowdout/sources/lismore_fs2024_pages.json,5,annual_pair,"Lismore City Council | Income Statement | for the year ended 30 June 2024 §Statement§ Original unaudited budget Actual Actual 2024 $ '000 Notes 2024 2023 Income from continuing operations 61,009 Rates and annual charges B2-1 62,025 58,632 24,359 User charges and fees B2-2 27,422 26,309 4,395 Other revenues B2-3 5,614 6,373 22,574 Grants and contribu",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/lismore_fs2024_pages.json,9,deferral,"82 78,734 Cash flows from investing activities Receipts: 1,125 Proceeds from sale of IPPE 275 198 – Deferred debtors receipts 10 10 Payments: – Acquisition of term deposits 20,928 11,072 (235,791) Payments for IPPE (122,821) (71,383) (234,666) Net cash provided by (or used in) investing activities (101,608) (60,103) Cash flows from financing a",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/lismore_fs2024_pages.json,9,annual_pair,"Lismore City Council | Statement of Cash Flows | for the year ended 30 June 2024 §Statement§ Original unaudited budget Actual Actual 2024 $ '000 Notes 2024 2023 Cash flows from operating activities Receipts: 61,009 Rates and annual charges 58,194 60,942 24,359 User charges and fees 29,740 29,017 3,306 Interest received 7,117 2,816 229,138 Grants and contri",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/lismore_fs2024_pages.json,29,deferral,"ed $3.4m for remdiation works at Council's waste facility and $1.5m for fleet purchases. Due to the deferral of remediation works at the waste facility and utilisation of internal reserves, no new loan borrowings were required for the 2023/2024 financial year. B5-1 Material budget variations (continued) Page 28 Lismore City Council | Notes to ",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/lismore_fs2024_pages.json,32,deferral,"e, Council has internally allocated funds to the following: Employees leave entitlement 3,481 2,150 Carry forward and revote works 2,604 9,630 SRV related 1,349 1,505 Emergencies – – Economic Development – – Public Infrastructure 6,592 9,549 Total internal allocations 14,026 22,834 §Total§ $ '000 2024 2023 (c) Unrestricted and unallocated §Subnote§ Un",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/lismore_fs2024_pages.json,81,deferral,"ch are subject to change. Internally allocated cash decreased by $8.8 million due to a reduction in carry forward and revote works reserves. Restricted and allocated cash, cash equivalents and investments: • External restrictions 169.6 110.3 • Internal allocations 14.0 22.8 PERFORMANCE Performance measures The following section provides an overview of",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/lismore_fs2024_pages.json,83,deferral,23–24. Council provides support packages to ratepayers financially impacted by natural disasters to defer payment of rate instalments. The ‘rates and annual charges outstanding percentage’ assesses the impact of uncollected rates and annual charges on council’s liquidity and the adequacy of debt recovery efforts. The benchmark set by OLG is le,Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/lismore_fs2024_pages.json,110,deferral," 3 f = d x (c + e) 1,200 1,613 Sub-total g = (c + e + f ) 33,641 35,940 Plus (or minus) last year’s carry forward total h 841 212 Sub-total j = (h + i) 841 212 Total permissible income k = g + j 34,482 36,152 Less notional general income yield l 34,270 36,088 Catch-up or (excess) result m = k – l 212 65 Carry forward to next year 6 p = m + n + o 212 6",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,4,revision,"Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 10,382,158 10,444,852 Connecting People & Places -6.3% 9,731,744 9,267,080 9,480,707 9,699,867 3,759,940",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,4,deferral,"Non-Operating Funds Employed 2,000,000 0 Loan Funds Used 192.5% 5,850,000 1,000,000 0 0 1,780 1,780 Deferred Debtor Repayments 3.0% 1,833 1,888 1,945 2,003 2,983,413 2,324,356 Proceeds from Sale of Assets 13.0% 3,370,662 1,447,399 1,298,718 2,569,645 Less: Funds Deployed for Non-Operating Purposes 34,596,909 27,552,453 Asset Acquisition 35.5% ",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,5,revision,"Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 22,611 45,111 Festivals and Events 3.0% 23,289 23,988 24,708 25,449 0 0 Swimming Pools 0.0% 0 0 0 0 1,27",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,6,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 0 1,500 170500 0290 Event Management 0.0% 0 0 0 0 0 21,000 170520 0290 Events - Australia Day 0.0% 0 0 0",Search hit only; not a verified outcome or complete document series
